	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	NOA	BIC	
EEZ65	0.8230751140056363	0.06539331469615367	4.488155098387796	0.05472189155668322	0.4595794695312292	0.44297510489298525	1.7106856159873116	19.270689248385395	3.7903583421683273	0.18444707739871524	4.53690660815443	0.9700243970777622	12.266993770191299	59.66623775005568	0.07359171317589884	0.07116576234569542	0.2793560854577342	4.733659827362332	1.3341828399469524	1.4178756071978196	0.29605130703695864	0.6626802747349577	0.16463609100225438	0.03363606911128548	6.9655158322096575	6.623710672362424	6.216624153427838	0.5127879912167351	0.15633907574734782	0.1968601459837395	1.8182801898136074	0.1185853166517055	0.30190221566066805	0.13461970188887992	0.5194979584693049	20.67474265825084	5.857572972449837	0.028583542395223777	1.002873935290537	0.04655915304120461	28.261669007758982	nan	
EEZ71	1.4652319260148474	0.19751685807060929	7.395939101753296	0.11337619118510378	0.5969702273699277	0.8419649611065196	2.425993549968521	32.79900508714039	5.395827687339161	0.2752903734050012	9.586098163792032	1.9457915394378011	21.18290667419118	91.23696091027905	0.10976791885922406	0.14589879896654318	0.5470778245558973	7.986961956912918	14.193819313526554	2.877885479851957	0.4509922607687495	1.2343855157083448	0.30169323935478737	0.06512424568637347	11.34495360670366	9.48751967060501	8.88464746603529	1.2666412794980924	0.2314522550165432	0.3585859896104025	3.12085415699204	0.23753525166647094	0.5060789043798499	0.24444954416206333	0.9095729794836722	50.36789230495423	9.418642523433524	0.060569029182482366	2.404022432266408	0.12653211844159654	39.5683338312816	nan	
EEZ91	0.5440401755269749	0.08509099490005544	2.4778203392360516	0.04324356470072673	0.10265485870489267	0.3665949268352766	0.5504334371251062	7.356332944535077	0.46716590998978863	0.037863579762049654	64.76846500849096	0.15118429230495029	16.782827061193682	12.548179319276999	0.07481530404228995	0.08421839951984171	0.1065377990971409	1.2278107665661382	0.14086441967840235	1.7898938625623426	0.04877107706057026	0.4799389928326969	0.03664420478552794	0.03203834113439008	2.6229663577864266	0.5089944247960249	0.8493989784637203	36.453061695636	0.07274376313985281	0.11802031145303045	0.2681939968897142	0.0849868849133625	0.12615826907004435	0.08833438217386302	0.1302157017203331	134.75339811795615	0.8788836909287472	0.016098534014544905	18.19828062463766	0.6190982721037849	7.212611214995326	nan	
EEZ99	0.02233450472484066	0.0017059810316567127	0.119741401821966	0.0022719595217005023	0.004958214105743915	0.016018462813882278	0.035148788075630065	0.3417041700977906	0.022219012575467864	0.0011904890295061446	1.3275087774709748	0.006965897843626413	0.9426748575427478	0.7781291810594922	0.0017022695742775868	0.0032861696362276854	0.007137901080732155	0.059114367567408205	0.004421982266795446	0.058544599573123385	0.0027242182213795354	0.020221638086084175	0.0018392152970061494	0.0017415605007049474	0.1319970572007749	0.01658015586851701	0.06315868069915477	0.20041919216898754	0.005645920773259283	0.003296482303643053	0.012287385483609655	0.004032169062389302	0.007957111957205528	0.0031469765848028274	0.008508360646730316	1.4047977890275256	0.03726155274745373	0.0005517731877649124	0.11325592521607968	0.0053317269139792	0.4490998763895908	nan	
EEZ100	0.04078712785465718	0.0017696411677603217	0.14336268778597364	0.0018157874234462784	0.011933521960083746	0.016129647317783373	0.07457214637078147	0.7533378656053182	0.11220131346786043	0.004301805449163343	0.19698632345369346	0.022471794168987546	0.44763791082041743	2.552109435178075	0.0031926420293312773	0.0038836125265992428	0.014258427437119366	0.26074152036279935	0.032503086497928865	0.06024599690549639	0.007567173465184456	0.02157150366089988	0.004356905968958262	0.0016270588379319933	0.23784029859138864	0.15743464842385296	0.21039746558736874	0.022138876286010547	0.012918074100427647	0.009374055352612173	0.0495699531557152	0.0066089977275383925	0.012045315551191108	0.005063119419015599	0.018497160796737574	0.9360928785923063	0.1781476893645607	0.0010104474663425438	0.04474536094620112	0.00256938296425828	0.9188888767026694	nan	
EEZ108	1.335101184453892	0.15381722011551133	9.550516309424609	0.14446954689968178	0.39900904278367894	1.1944026980517788	1.9764709844598232	28.812239052166774	2.647348697727151	0.16316382427896142	24.12699856933098	0.708426627022118	47.898481167358966	114.07375667119459	0.18697785932547492	0.22636940547530993	0.4240810958482215	20.94332004264539	1.02018118107804	4.225663044844556	0.27952213244802504	1.5563998787463962	0.1830953196120421	0.11172166720149927	11.942565076872867	3.218106354453468	4.320337871247438	4.135057456750283	0.30031643279037407	0.30504394897803716	1.4225361662192542	0.3384244070274785	0.3495989023116512	0.27551344933927197	0.4672769741159773	92.8759688827621	4.547174384770499	0.08578903368952423	5.542723483017872	0.2119431638861886	44.013107096371705	nan	
EEZ109	0.07050969221785759	0.006914580318525858	0.5809094952197817	0.009155805095206346	0.04612485282749956	0.05375050210642204	0.1357941939234484	2.01014923080754	0.10900853745987281	0.01048427333645928	1.539726834016997	0.03750772327044777	2.7854796907326116	4.531845668550906	0.013086595604251959	0.008944210781336226	0.023693246181224075	0.37495803232937264	0.02099765636694167	0.179079702023671	0.026136495099787844	0.08556814719354423	0.014195587066162814	0.004112750702299902	0.6068086742850206	0.12514382415919117	0.5361835408979824	0.19308569166517928	0.027250000797466322	0.01631816909844828	0.06810732606362276	0.011797986944919	0.019642114424856662	0.025661553084741	0.052579016187882514	3.3499680228269813	0.20771136538409254	0.006463767519095016	0.2028920325611353	0.008940933117319421	4.241150129113357	nan	
EEZ110	0.01874043241367376	0.0018681469211703616	0.16059380955210875	0.003458396552763199	0.012558745856289577	0.012649362118299687	0.04323097649480384	0.515322653577372	0.029683428561303567	0.00298749840658954	0.5713567443701054	0.008799443242194087	0.970930671301233	1.4762429228799492	0.004371475708631602	0.00262543386884749	0.0075065605522075035	0.1329899820133157	0.006941984050719225	0.053178159445521477	0.006661696070198492	0.02507146847574743	0.0034268470029440103	0.001648489583609825	0.16947176887593038	0.0353852942389311	0.14590309046821606	0.07128275696953745	0.0073677386052838625	0.0055119984383322695	0.017098020756065424	0.0038723581167781087	0.006655334404715603	0.007827175413149343	0.016204525695411066	1.1817195799506377	0.059348486365728016	0.0015202972530630068	0.07746174758668198	0.0032255167207164534	1.3859353856352785	nan	
EEZ119	0.0041737652291540745	0.00027896198458565973	0.014317046822096294	0.00017893368087819634	0.0017390110132632487	0.0023121106721023725	0.006265702949260203	0.07195200517693552	0.014217236470669062	0.0006646235561140753	0.016762013832966147	0.0035514943939225128	0.04457989411284905	0.21897734463948515	0.0002806281276856696	0.00029920792331542266	0.0013028651239986486	0.018756919811695937	0.010675715368939945	0.007173794347294912	0.0011271307191938454	0.0020870770479031243	0.000595141315042824	0.0001285484077147946	0.0226659683422484	0.02202200772252248	0.022820055635994718	0.002086130116663441	0.0005665154223372898	0.0006638171670189604	0.006882343658375829	0.0005517775294121957	0.0013027190240286507	0.0006357395964057363	0.0022559758915349	0.09390719276119293	0.022185185603853366	0.00010643034731598119	0.00408658235688375	0.00011151255839814967	0.09696634510085848	nan	
EEZ123	0.10065399254232567	0.013362333959448297	0.4097794378277755	0.007829463376206552	0.050293124875593294	0.055625602808583315	0.17180304405233005	2.0115462795838868	0.40290518288310045	0.028415004851014388	0.3156931734848321	0.1983788082783543	0.922711510115623	3.5356513014156086	0.008494612798676736	0.010054950003903896	0.03896821125992095	0.22942004048434772	0.2486390061633219	0.16757271841705965	0.0465428754802061	0.07431687345844136	0.028771349825614856	0.002973355935510434	0.6161572669203805	0.8858584962322603	0.7252157753332126	0.026887022541436174	0.01326107006050446	0.029688569732672736	0.29609860372872604	0.01516391309400026	0.03791374579645979	0.017514594821188327	0.06363068553497904	1.245019141242537	0.7469046768170831	0.003872017629737448	0.11272614139585783	0.006570773863485618	2.138171453709082	nan	
