
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
EEZ99	0.006976228705825233	0.0021335576750007	0.0459611138877585	0.0033391442950455054	0.014925213600494877	0.013215317632711767	0.18593024631016772	0.011018131643002402	0.0011423806498548881	0.8839683446466876	0.0010745312970018735	2.0391234148818973	0.24340803264071034	0.0012916245186987269	0.007493352694032768	0.08820606701023914	0.0008828934513562952	0.03479672427228968	0.0016332291852480028	0.0030776673501929593	0.0005755322059000831	0.0003500868401415159	0.059847376016619915	0.0021578821753522642	0.020459252249649496	0.10606385256444435	0.0041279010334346845	0.0027468633231712836	0.004176823434777572	0.0016837321858642169	0.0032904613405703802	0.002343777233747092	0.007795357084418839	0.0024869015393089674	
EEZ100	0.02755488475017447	0.005415415960699562	0.07123575911692266	0.015026101360464254	0.017291033916943328	0.05469288917305539	0.690043897860039	0.08597999256408902	0.006323790601902641	0.13917409332290992	0.008814303457824583	0.4768777396054867	1.3034247758625932	0.0031669519517436933	0.024736178825757477	0.47302629982000727	0.02653752432663704	0.06286770851837446	0.009434871939441298	0.005016782110120359	0.004068245564824844	0.00120138019090706	0.15350581749352735	0.030954670973341272	0.14062101937269553	0.013166315717803757	0.023501174624991003	0.01245783317788139	0.02881903629786073	0.006668288100601831	0.011449256210588907	0.005602834359855363	0.02435390597069734	0.03574562369238151	
EEZ108	0.6194549133969826	0.2691088658734178	4.314257958614072	0.2797333638879446	1.1548859330590158	1.3061727174273827	21.673707025590506	1.6033898208797879	0.1935402789253353	16.589314753542652	0.2505436297533756	62.36558985398196	60.64120382098063	0.12394134808230262	0.6175419358283243	120.68341720085665	0.47196385626210535	4.038495142258559	0.21289346900285055	0.35385120449643376	0.11187899921043593	0.0364682462570295	6.197530594156515	0.5184063610601332	2.5199352844829215	2.3657315886625105	0.35747203999815585	0.2824527132784434	0.6707885079782737	0.28072008371992463	0.3157301323900981	0.30194552783692036	1.4877990247494417	0.5947996480990854	
EEZ109	0.018072253452545737	0.0035040822839552573	0.28352729619597916	0.012179526105472226	0.041809075389167706	0.03830897057727154	0.9360002339396346	0.04121776176999131	0.004164784488372465	0.5594644195140218	0.004367551381927927	9.530196935515447	2.463233559354595	0.0015060281260459484	0.007112801419261635	0.4628412283575872	0.0021747833946071425	0.059106540277831514	0.007268410289933159	0.01245250948734944	0.0031460502913703095	0.0006772718585510814	0.3614712430126956	0.00562660251174741	0.1374821736373956	0.04765242875767736	0.0071304462336550705	0.004242571762982488	0.011999312815487337	0.003615503420493779	0.0054182766310975905	0.006330821783744218	0.026786851339927132	0.006466478402501786	
EEZ110	0.0031244363413917772	0.0007599067907270446	0.06102102365301317	0.0022690816459896173	0.008168118578169849	0.007417079804725393	0.17935228471916975	0.010994774859229528	0.0007030096405659906	0.1889644048298953	0.0009609648804747179	5.608553802274302	0.5431536271822636	0.0005330970007845857	0.0018437597287392757	0.13486542477021532	0.0007072365924091664	0.01563724622369689	0.0014042023367527585	0.0022390933990648247	0.0006273298613239504	0.00022695610907622096	0.07884627139248412	0.0016645476865769033	0.027476245013655448	0.017694793331068694	0.0019389667255266503	0.0012693275741625324	0.0027731403569906565	0.0009959653687347742	0.0012755898431992304	0.0031149903097416752	0.004585195548784267	0.0019154430592888405	
EEZ119	0.0022752312672015794	0.0007250062369440098	0.008567312611769644	0.002319113910819704	0.0025156566857000994	0.004237073997521931	0.06417828097706596	0.011153520994109961	0.0008806096332089429	0.014521554512555717	0.001675095378965853	0.052673798094309866	0.11108558908435627	0.00028345884211207283	0.001721754866524623	0.03679737167753068	0.0163410942152847	0.00799829511598834	0.0015663261532349341	0.000541699150349019	0.0006461806317770098	9.032500138495579e-05	0.01667935395569096	0.005650529408561311	0.013346368143759682	0.0015317443628407442	0.0010520623357416457	0.0008464827988406997	0.004533358215418462	0.0005637741786621991	0.0010927545441252403	0.001126747122160305	0.004232258790471164	0.006527912300722787	
EEZ123	0.06526854742228394	0.022049639841357854	0.1874228052370953	0.08318521980405791	0.0640145728065078	0.09392580718962025	1.5857150405092824	0.289055274227675	0.0365770906710391	0.29058119342540395	0.0774743008262012	0.8839007341407634	1.4450849382140234	0.009964609546354579	0.04254856061337973	0.3944448730871251	0.35146790969987446	0.16881495025739224	0.06188357257666469	0.01722924919056698	0.024627980067163695	0.003467903304505296	0.39165973039813967	0.29727478028974785	0.4189784709928928	0.020802009823287695	0.03903187601194392	0.03069699427958729	0.19365658053175908	0.014473008068740268	0.03233824441987329	0.01868676679315655	0.1410444202525638	0.3434358344331924	
EEZ185	0.28276436219657136	0.037378216702013245	0.8954964063932951	0.30686984146344126	0.17038536828795417	0.5835314894866058	12.94848213177444	11.662595432120604	0.046895982155807085	0.6352233660302762	0.09747417098240448	3.4992845934511023	3.3302657224995644	0.043682434665260235	0.2677949544367781	0.4553335419671629	0.007212412494938293	0.49905156119322713	0.151198109058178	0.06771737582318237	0.06472592922495574	0.009235524099832792	2.4537644948469013	0.7538836138108908	2.2027969374364096	0.04402036267988756	0.1429871057396769	0.09029207967685655	5.385812238307005	0.0572840511174666	0.17330200203394022	0.0367538835051582	0.30915965550343194	0.8744608471907399	
EEZ187	0.0023658124365975794	0.0005323333427962422	0.007795282264700665	0.0032774841484010577	0.0016845443333642874	0.005688517448133912	0.10209223747836076	0.05331746528057659	0.0007444199654840145	0.004574188243408711	0.001445018177453799	0.03090235832350331	0.02759979766682522	0.0004393319701739622	0.0027578739968912684	0.003701885733201915	5.5617038518483914e-05	0.004033947148415082	0.0017890656136948025	0.0005838962201006664	0.0008140973991368996	0.00012498879292217915	0.019018705741962776	0.014309242379574108	0.022446805447916125	0.000318548886522211	0.0019136202237546578	0.00120391430973195	0.0313839442794267	0.0005135779949169372	0.0017778674273994579	0.00043842842867457683	0.004911135911272857	0.016563213691527096	
EEZ188	0.020392641661121046	0.005735666500848336	5.657648312954275	0.012545669594072455	0.0404941166230417	0.035218276955990245	1.3411044606535159	0.06433712613810182	0.006566534017601249	0.23807339984023487	0.005422637127140605	5.193133095042554	2.846080820373253	0.0037495712241683494	0.009783663143782763	0.24457628661608535	0.004802977045523781	0.061908475697256764	0.011594972022437507	0.02328441619592846	0.005931454274157565	0.0020040960852441597	1.8845882822167768	0.009230273962515826	0.08066539895954408	0.030863613370930337	0.008326401910773752	0.007770709671777394	0.015706400165596105	0.0050598902367750215	0.005871980872618344	0.006982709190962587	0.03292854704002076	0.01061740481441606	
