	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	NOA	
EEZ65	0.4174233253135407	0.11314177637853828	2.5553738276866143	0.6105639818101771	0.5212615163467915	1.10739283079913	13.062002235442927	3.242809039401296	0.15719684117732416	3.577512365941089	0.4263939097287425	12.559894836177037	28.592183420650866	0.08903324880794468	0.31831444888842153	8.244207043310404	0.7898845663622058	1.4488516138706231	0.2576025732692355	0.13189762776469868	0.1466548209420085	0.03770733374583599	4.301959364147028	1.4454594890793337	3.9237570516813505	0.3400379148944916	0.29093738917276374	0.2096723980922187	1.0374417626719128	0.11341891032203062	0.160100796697098	0.09354411769053178	0.06945649897888212	1.4918818745491427	
EEZ71	0.8406008340025753	0.33067937730042685	4.597385402957198	0.8244795366985755	1.0845108592924348	1.7798772141030195	24.672814466047452	5.2321352411154125	0.35598314223301114	9.985525701380128	0.8933702086693134	25.132211182335123	51.18650914041469	0.23109836343841428	0.595016589095488	15.58562282124317	13.361606742418521	3.4995550782957	0.5328093529112637	0.2763899062799226	0.3149587876398301	0.11049213182008473	7.891788781342661	2.365816657501828	6.859029555059862	1.1166462668791723	0.6065432332588155	0.47061920304638866	2.2025482868103943	0.2542692044863086	0.3248837626941297	0.25139341054180836	0.3261076565424085	2.4310156958221976	
EEZ91	0.23697805165143726	0.11500700661504103	1.2044691137696548	0.08761548446336742	0.3467768429765226	0.3112451566019853	3.856111983235445	0.28654888501332504	0.03936286123370626	43.26309898338832	0.04660194580584007	15.286183560028547	4.596332924414908	0.0922925453770267	0.18766633023378934	1.6450749894400873	0.0271131877749388	1.7261120755687915	0.03377596683349005	0.08199243903436552	0.030462224570373814	0.032249817434607926	1.2732720532352708	0.06806704832298134	0.5461214003451801	43.4264841406554	0.12105766292924221	0.12577651531436881	0.09405679190731621	0.08749836599399634	0.08736875781874816	0.05185245086411185	0.037436047761023036	0.06989145426564751	
EEZ99	0.006504129164714514	0.0017670343138475174	0.047859469115465646	0.0032635458169323513	0.014898911612875142	0.013104596077412654	0.137673452217139	0.011208266524993932	0.0008980188900897596	0.8787833613023822	0.0010808736226328912	1.8593393039040909	0.24610638048949204	0.0018990000486090702	0.005864693542475929	0.08901085875755967	0.0004962845097205717	0.0335123321186138	0.0011979220953753837	0.0024215751398711355	0.0005710051787757153	0.0006125988857418542	0.05445438639512402	0.0019035437668310526	0.020916679482487686	0.10280587595931341	0.004099832063114336	0.0026172454822984714	0.00400528717323317	0.001536504827306353	0.002175855245445902	0.0011120982397970966	0.0007234954353567688	0.001951514264373061	
EEZ100	0.025690174031179014	0.004485102951955824	0.07417804585195575	0.014685909294936995	0.017260562757723145	0.054234657148570946	0.5109482049589866	0.08746371015519154	0.004971095596027494	0.1383577571269271	0.008866329101838958	0.4348326922903667	1.31787414880169	0.004656184381172038	0.019359839867203146	0.47734218959113295	0.014917046025668089	0.06054717998503534	0.006920180991976155	0.003947312512268763	0.004036245517161571	0.002102233165932492	0.13967304259706512	0.02730620404517262	0.1437650191135287	0.012761884353609164	0.023341370945663617	0.01186997814161172	0.027635479026397864	0.006085205796066247	0.007570951791807294	0.002658487393662513	0.0022603120821913045	0.028050203605558818	
EEZ108	0.5775347882569767	0.22287871836357195	4.492451946022927	0.27340017947935835	1.1528507330058309	1.29522924419562	16.048459719556284	1.6310587891093533	0.15214090547688244	16.492008870123335	0.2520224412957724	56.8669809685781	61.313453870014165	0.1822237210780802	0.48332093138289706	121.78453214106158	0.26529628309174713	3.8894290568194276	0.1561506448593761	0.2784177698633668	0.11099898023168796	0.06381390118230416	5.6390563485369976	0.45730448518139916	2.576275907788551	2.2930631160063943	0.3550412956562272	0.2691244524454466	0.6432401677761296	0.25617361678936973	0.2087801659408768	0.1432700536497653	0.1380842200655549	0.46674947896488944	
EEZ109	0.016849257056991904	0.002902116829015221	0.2952379680967023	0.01190378071792509	0.04173539726215972	0.03798800751591279	0.6930684277562444	0.041929037921340395	0.0032739132479059165	0.5561828385451116	0.004393330466401015	8.689944711942063	2.4905402217675907	0.0022142251429612026	0.00556685401791858	0.4670641895838104	0.0012224706266458487	0.05692484133485862	0.005331149702203363	0.009797903402940627	0.003121304056741467	0.0011851230561108587	0.32889820820670307	0.004963423982092207	0.14055599517711542	0.04618868315239821	0.007081960506385401	0.004042375056059745	0.011506517921565722	0.003299359901396647	0.0035828974751020873	0.003003909953897424	0.0024861163461971747	0.005074356440444	
EEZ110	0.0029129976077721304	0.0006293625854477975	0.06354140598174939	0.0022177094667741736	0.0081537242948135	0.0073549374760594486	0.13280275097967761	0.011184506683836174	0.0005526318545606188	0.18785601978687524	0.0009666368904096058	5.1140624674908794	0.5491748640558575	0.0007837813666027272	0.0014430237327044883	0.1360959362818707	0.0003975457797099316	0.015060055215783309	0.0010299381255046867	0.001761767044344474	0.0006223954036706241	0.0003971387769851566	0.07174124604943098	0.001468356062053881	0.0280905579206971	0.017151260154483188	0.0019257821072351442	0.0012094310739852602	0.0026592513844247343	0.000908877082554234	0.0008434983925024466	0.0014780309282680468	0.00042555690699458307	0.0015030810000765955	
EEZ119	0.002121260449663773	0.000600457589426594	0.008921172675380637	0.0022666089973635384	0.0025112234646572466	0.004201574629594383	0.0475212918544444	0.011345992228500414	0.0006922421922299697	0.014436377233598842	0.001684982480799049	0.04802968882014979	0.11231705033518058	0.00041675297050864784	0.001347536284455758	0.037133110726475294	0.009185516008157006	0.007703067685688518	0.0011488508315136059	0.0004262205906340909	0.0006410978975402338	0.0001580550562274436	0.015176337637125586	0.004984530739360951	0.01364476576718917	0.0014846935799536704	0.0010449085047176212	0.0008065393215674895	0.004347179572088786	0.0005144771563421314	0.0007225964570693287	0.0005346299440103409	0.00039280046866290884	0.0051225646733793675	
EEZ123	0.06085165506018377	0.018261737502664827	0.19516402454222934	0.0813019001679386	0.0639017629971136	0.09313887101874706	1.1741546531131275	0.2940433695087124	0.02875304161646246	0.28887676740471735	0.07793158601207358	0.8059695473767041	1.4611047128781252	0.0146503830942772	0.03330075052648289	0.3980437862842929	0.19756413299924366	0.16258377183274825	0.04538964867878972	0.013556345365234505	0.024434261049114874	0.0060683049364028555	0.3563663390787195	0.2622365398445555	0.42834597671922453	0.020163031889662317	0.038766466410198895	0.02924847731616899	0.18570337725021804	0.013207472631313453	0.021384034476240325	0.008866679033716858	0.013090483621236113	0.2694999859059451	
