----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
1995  46.6099  30.7752  55.5597  21.0852  0.6027  1.1645  68.8069  2.3983  0.8039  0.1041  2.6833  6.2239  0.0593  1.9176  35.1377  22.8765  33.2350  64.4541  24.6665  189.5869  30.9126  154.0137  17.4060  47.5998  6.1891  13.5424  9.5879  6.0752  77.1476  1.2989  10.9630  4.1735  9.8945  302.1918  301.9195  92.3631  94.6392  408.8753  
1996  42.4148  44.3590  67.7796  23.1646  0.7534  1.6461  88.0304  2.5374  0.8225  0.1292  3.5052  6.3548  0.0640  1.8715  32.5052  21.2877  33.5373  72.0912  30.2208  237.0465  34.1806  174.2850  20.2983  60.2103  5.2287  12.6283  9.4568  5.9731  75.0950  1.1594  10.6874  4.2926  9.3119  356.1259  335.3630  109.8168  112.3612  472.1554  
1997  46.2397  35.3769  67.4198  27.5098  0.5930  1.3450  75.4767  2.2550  0.6443  0.1386  2.4472  6.5259  0.0610  1.4286  33.0512  21.9808  36.5651  56.3253  23.9304  207.5063  27.2956  154.7470  15.5148  49.1928  4.3848  11.3366  8.0390  5.7062  68.3689  1.1947  11.1852  3.3302  9.0015  290.1690  315.0704  94.4005  95.2863  449.2873  
1998  36.0931  26.4305  50.9332  18.2876  0.6411  0.9630  54.9257  2.1284  0.7187  0.0958  2.2230  7.0063  0.0626  2.4323  41.9570  28.1549  39.0635  61.5366  21.4740  193.3137  24.4943  146.0417  13.3224  48.1068  6.4130  13.9295  9.8722  6.3382  86.8376  1.5366  12.5228  4.3664  12.3611  250.0959  336.5462  80.7588  90.7936  364.0970  
1999  34.8087  23.3124  56.7546  22.4871  0.6583  0.7754  49.4644  1.6228  0.6139  0.1103  1.9764  8.2880  0.0798  2.2614  38.7891  24.9381  39.8717  63.6814  24.5215  169.2413  26.7413  146.3606  12.8579  52.5792  6.0817  14.0321  9.1135  6.2180  80.3383  1.3091  14.2182  4.3838  10.2882  261.6973  309.5537  73.8674  101.2286  355.2955  
2000  36.5242  26.3726  51.6004  22.3884  0.6488  1.0178  47.1879  2.0348  0.7137  0.0873  2.3164  9.4590  0.1012  2.4039  44.5010  29.9111  48.2318  63.3797  21.2666  196.8792  28.1046  162.5272  14.0274  50.5888  7.2330  16.8687  9.6039  6.0706  79.1795  1.4799  14.9620  4.7899  11.2261  269.9761  374.0735  75.9057  98.1226  343.7921  
2001  41.8439  27.5763  53.7790  24.6468  0.7057  1.1213  53.6676  2.1846  0.7458  0.1146  2.0181  6.6869  0.0656  2.4552  39.7725  26.9346  36.5775  62.2639  21.4893  190.6575  25.2563  130.7786  12.2422  50.3497  5.5171  12.6112  8.2825  5.9407  76.6683  1.3312  12.0784  3.9798  10.3140  246.6711  319.8160  76.8720  97.1740  354.4031  
2002  37.8001  33.2026  62.5989  22.8074  0.6515  1.2341  58.1820  1.9636  0.6888  0.1400  3.0317  6.0578  0.0508  2.2169  39.2666  27.2929  37.3835  59.2281  25.9296  204.1761  20.4017  133.1237  16.7130  53.4783  4.0796  9.6332  6.5511  4.9746  68.6865  1.2177  11.0532  2.9153  9.9202  258.8023  325.1361  82.4420  99.5738  369.8118  
2003  36.3588  30.8261  64.0264  24.5193  0.6438  1.1218  60.7654  1.9959  0.6198  0.1363  2.7875  6.0781  0.0587  1.5582  28.2284  20.0850  34.6450  59.7271  22.0450  171.8725  23.7770  148.6423  16.0468  55.6197  5.0066  11.3177  8.2336  5.0587  63.1397  1.1027  10.8014  3.4157  8.6661  285.7724  277.7887  81.5952  102.1132  356.6374  
2004  34.6711  23.0279  51.8882  19.6569  0.6292  0.8910  42.0906  1.9918  0.7595  0.0994  2.3593  5.9990  0.0507  2.0468  34.5482  22.4332  32.0425  61.0446  21.8800  163.5417  25.0494  125.3093  14.5588  49.9340  4.5406  9.5806  8.3494  5.2522  66.7885  1.1927  10.6141  3.2460  9.6133  241.3611  282.1021  64.0100  93.8989  309.5322  
2005  35.6755  23.0883  44.7201  19.4722  0.6777  0.9634  42.3553  1.9643  0.7044  0.0889  1.9678  6.0209  0.0505  2.0626  32.3259  21.5109  31.4241  56.7652  18.1582  157.6406  21.9870  149.3597  10.6888  48.0648  5.4922  10.4330  7.5125  4.8068  63.4633  1.0515  10.5918  3.1807  8.6738  246.9175  280.0043  66.1600  90.6608  307.0497  
