
	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOA	NOS	BIC	RU	
EEZ65	0.0006192327838320789	1.3662032094575728e-05	0.017343950650729748	3.95970998354112e-06	9.807723038460568e-05	0.0002130708433674837	0.0017064881462081868	0.045708599583534126	0.023551028481745312	6.683326402042045e-05	0.0022175911962607404	0.000515919192680992	0.020727903241311494	0.7345031140915915	7.639155013982394e-07	2.752022571297391e-05	0.00022904112876252436	0.07650840534359243	0.028983568376417662	7.851581198766095e-05	0.00019768680698893496	0.0006634342458586608	0.00010253778227154528	9.41375858997718e-06	0.03667069012211573	0.18632226609827515	0.0064820697173662714	0.0007680368171876804	5.355470363883213e-05	5.9094056378883665e-05	0.00852629766231817	3.260007585264526e-05	0.00018132119964955028	8.926270893435687e-08	0.00012846812736217608	0.11975784606054983	0.018410188364134588	6.202520244184579e-07	0.00020438763660889493	9.828994364473006e-05	0.683355528315997	nan	0.0001110310323080319	
EEZ71	0.0019260118530888186	5.995166466928622e-05	0.06252628609109943	1.7839011787757815e-05	0.0003140242156303905	0.0007669770744836461	0.00442926979270872	0.15675827489592634	0.04528612124648971	0.0001866803960417717	0.0033059883542221474	0.0012767323759034805	0.08223580534873133	1.1475104722386202	5.204972818377446e-06	8.899774240236798e-05	0.0006064975557867926	0.18541564337139252	6.72658691759813	0.00040557575094113683	0.0005670724357118982	0.0034576347927848523	0.00032630441373364475	2.9016372731601654e-05	0.1225049589631062	0.23187121653797274	0.013782111830981955	0.0009392184356568984	0.00016816243855716486	0.00014327301570193245	0.017725258702803965	0.00011938013330406662	0.0005442232075002117	1.3447153373087552e-06	0.0005119822287448199	0.4503096338611861	0.033456596708962894	3.3602298515242736e-06	0.00023315196919429713	0.00014852295877120335	1.1499111161628004	nan	0.0005497330721224181	
EEZ91	6.650254094192193e-05	1.9884489019879747e-06	0.0010899102399236232	2.1276644600631655e-07	4.49416356501712e-07	7.431244446592522e-05	2.1482793080396967e-05	0.00105019366933842	1.2925216956349413e-05	3.5989574490663253e-08	0.40094000720022155	3.112928410584927e-07	0.015905072706261444	0.004274029942489155	5.871591579845764e-07	1.1187690711150877e-05	4.760016551156413e-06	0.0013603874598355553	3.2784221438864143e-06	0.0003086192347809276	2.1141270557131806e-07	0.00011775243761553008	7.861702647072981e-08	9.161196717801677e-08	0.0007315826011462601	1.7884346823414237e-05	1.3363766039123511e-05	2.093989386034108	3.8615787177038787e-07	7.084697497939768e-07	2.954620643474565e-06	1.7263531330522627e-05	3.0133200544778982e-06	1.1082682987475811e-07	4.330076657821539e-07	5.3125786284999235	7.486927271293903e-06	2.799502310160546e-08	0.028524250087885453	0.0076977761289459025	0.004990603777569745	nan	7.870783318833779e-07	
EEZ99	2.2549207870195615e-08	1.5211768053268456e-09	6.8726426767816355e-06	8.972870679422907e-11	-2.3041106347547722e-11	6.007007767547748e-08	3.515412659791646e-08	8.105954839351288e-06	1.8498402674749713e-07	4.5112613340106977e-10	0.0002935648521664074	1.7610738720913749e-09	9.487412121468427e-05	4.639575138730079e-05	1.610569348464929e-10	2.7206675647530346e-09	2.2955434706926517e-09	1.349362274349528e-05	7.220593970671206e-09	9.474207297621818e-08	3.8364814254375575e-10	5.912817940668022e-07	4.036554567535277e-10	1.592979725245385e-11	4.856995270122548e-06	6.011450582528574e-08	4.213506000325345e-08	4.738548174662984e-05	5.678211548369974e-10	7.976398556010811e-10	6.927581477122143e-08	4.025921739018522e-09	1.2310246389787797e-09	2.0868629816308905e-11	5.443277047687968e-10	0.0006990914052606451	2.176124183761023e-07	1.54640208880415e-11	6.765006337303556e-07	2.7215216114819536e-07	5.807357279282718e-05	nan	3.610430599227433e-10	
EEZ100	6.88058641131466e-07	9.27686794243056e-09	1.8116122475262063e-05	2.255465003344771e-09	5.8575643278276776e-08	2.8963341891072055e-07	2.7133981790868615e-06	6.312228932282627e-05	2.0976278235704394e-05	7.551327609357682e-08	3.0110412115602748e-06	2.767361242353636e-07	2.5806650744949683e-05	0.001539928222354549	2.96987857139468e-10	4.4966442876490506e-08	2.9184520679544397e-07	0.0002423223115891253	1.5790528371080964e-05	1.514761849208368e-07	1.7213161986798342e-07	8.350220959713535e-07	1.1831701242763627e-07	7.967447175693302e-09	4.060501423045102e-05	9.105927527444965e-05	6.875586696834843e-06	7.358523818344908e-07	7.262859214500711e-08	2.538848615958193e-08	5.087220301336372e-06	4.3371220305577613e-08	1.9941437851073285e-07	-1.6667494990237373e-11	8.898490027139353e-08	0.00018121445411723632	1.4680611047423086e-05	1.9229926393020905e-10	2.7416574548969394e-07	1.8825533724288926e-07	0.0007454859947565043	nan	9.047218162543824e-08	
EEZ108	0.00045188995194598804	7.371570400007841e-06	0.07509807482842479	1.0267973417477667e-06	1.1004434757362948e-05	0.000684712006316654	0.0007552447117265657	0.08338354160481705	0.004908437858217366	6.4373666377823344e-06	0.04300730545374425	3.252216687705137e-05	0.2435188582675588	2.0146552433743605	6.9339774311179e-07	1.6856712690642476e-05	4.304323809043288e-05	2.7040387514643105	0.005534914801911599	0.0006053151211176341	3.076790768643479e-05	0.0035171889936114168	1.5239980155464437e-05	1.032152494672521e-06	0.10227768056904694	0.004345282900638225	0.0011276437273580844	0.020006906942010037	1.0844674633703902e-05	6.356581418576358e-06	0.0008533178838051749	2.5675289534014904e-05	3.469599372239858e-05	1.6820197801104037e-07	1.5779349675236435e-05	1.9041964383629673	0.004163275998736775	2.1622070380454503e-07	0.002889752093952957	0.0017776244548537172	0.8496379839720917	nan	1.509744976356284e-05	
EEZ109	2.0098854305625077e-06	2.034675606133383e-08	0.00030163465021743264	1.3364959641014744e-09	4.619338115581381e-08	5.045473873545835e-06	6.79784221456866e-06	0.00032212434014250685	5.590826229263678e-06	2.5685007779585332e-08	0.00015977817922213644	1.4770668463429994e-07	0.0021241518854078216	0.004751888470912259	2.401815735807611e-09	5.902464814191296e-08	1.0353778026658205e-07	0.00045429350312227505	3.2739616612816106e-07	1.9209225498243897e-06	5.012612074177075e-08	2.0111292246214297e-05	3.093518909011214e-08	2.142829742738894e-09	0.0002600028085003677	2.7553683739165894e-06	6.70891204861268e-06	2.2697514405548146e-05	1.3398523754256864e-08	1.119378198371914e-08	1.2266776391889056e-06	1.1374565625629183e-07	1.813892619961776e-07	7.199805935695653e-10	2.3164147981615645e-08	0.0024358018727889835	6.663434424779181e-06	2.2412540733463418e-10	2.484079375342866e-06	6.207779262121536e-07	0.016381466660271727	nan	7.584893206518337e-08	
EEZ110	1.870025007826588e-07	1.3658754548519898e-09	2.4118922844179565e-05	8.188442118456388e-11	1.3492972216396615e-09	5.858675443159776e-07	5.775015772410306e-07	2.572837200287697e-05	4.598493097968166e-07	1.8708656250602556e-09	2.6815417644501265e-05	9.412645682499008e-09	0.0003795048249320211	0.0004063674619105356	1.7129445655660823e-10	5.177749629335882e-09	8.189733035341682e-09	4.991482891339644e-05	3.325747915857127e-08	1.9020161622876444e-07	2.5029739171987353e-09	2.395568304697043e-06	1.769297847124867e-09	1.2329773299100997e-10	1.9682143674455175e-05	1.8723640186578742e-07	3.5228466530295823e-07	3.3764243853225157e-06	1.0222375555582563e-09	7.513604028467075e-10	8.199794102763326e-08	1.023308133287821e-08	1.3348990169023042e-08	5.869826755552897e-11	1.9496258346261605e-09	0.00027477333870571746	4.918656822912244e-07	1.3688814794302883e-11	3.9843992359732694e-07	1.2037441805050188e-07	0.0013677351128771529	nan	3.0140832456109253e-09	
EEZ119	6.603374084428985e-09	5.981260281518406e-11	2.424666763347132e-07	6.28512920067765e-12	1.5061284334230226e-09	2.7890093482467025e-09	2.0682478857002813e-08	7.539020475028348e-07	3.377331745652093e-07	1.111739077134409e-09	2.1893053920759138e-08	8.196886440800737e-09	3.53268991764346e-07	1.1669953367166651e-05	8.308387301417504e-13	1.689023862519639e-10	2.2698119684969408e-09	1.1623389232657993e-06	2.3304020760304797e-06	8.287352497907228e-10	3.1678879681842854e-09	1.011947641228745e-08	1.264113866847998e-09	5.598514787889367e-11	6.655902292864094e-07	2.6184847700148993e-06	8.478644610621393e-08	6.981612288760193e-09	1.727712010872105e-10	4.1693689308448636e-10	1.4265353563456094e-07	3.366146586998121e-10	1.973886353804636e-09	-8.328209675363557e-13	1.6178053733020933e-09	2.4003490071707937e-06	2.6962136370697094e-07	6.730324746082744e-12	1.871030111891776e-09	1.0233120633891204e-09	1.1345876113866426e-05	nan	2.2220033925105266e-09	
EEZ123	2.683585340305344e-06	4.5004443666656695e-08	0.00012252483079959754	2.3611780771994466e-08	2.0636369510623166e-06	2.2440627922083764e-06	7.189572173800576e-06	0.0002901685490289614	0.00015619782106570654	2.160442047047102e-06	1.0836516739542222e-05	1.840835850592932e-05	0.00016450940697008108	0.001955762280383934	1.4678803582014836e-08	6.042058203635123e-08	8.490402455705831e-07	0.00014941174365999408	0.001063484096751896	4.0919335536336456e-07	2.7155506315462935e-06	5.6009522184893855e-06	2.517347899384833e-06	8.572786616528403e-08	0.00024646806349344933	0.0018029035342868162	3.00934302143515e-05	2.45781539623287e-06	1.9216641620014663e-07	2.0262423699237246e-07	9.64344723321724e-05	6.823013272423648e-08	8.214411582059174e-07	8.81625982892525e-09	2.1441219476872707e-06	0.0005360493904375699	0.0001465705384628899	8.502655179237172e-09	8.705146889839558e-07	1.0349949184706585e-06	0.0027753296038106525	nan	6.8164120289857275e-06	
EEZ185	0.0002323632649938028	1.7910769160865953e-05	0.004282721762298395	6.647886676310433e-06	0.000104367579330803	8.166106215056063e-05	0.0014063152686318557	0.02838315364221483	0.04494171186938442	2.8720418679496843e-05	6.119661571679239e-05	7.956275993977655e-05	0.0027636867001458974	0.014975466222222641	2.5683980598872358e-06	2.1049823494189944e-05	0.00023955120426112577	0.0005099911409775458	8.823043806254065e-07	2.627712995437722e-05	0.00017620003253153319	0.00024145695676973237	6.375851715148216e-05	1.0701829467810765e-05	0.011907939211118318	0.003629033438682583	0.007960189578797067	4.011099353825494e-06	7.177296873289433e-05	8.960688938890826e-05	0.01602770084408015	1.6606858311466443e-05	0.00023099090247688544	6.679239811488363e-07	0.00011724887981186938	0.00024317528165723835	0.06154630681590791	8.118094137810976e-07	1.1764988103822206e-05	4.334230798832343e-06	0.07128243013559327	nan	2.60029990725351e-05	
EEZ187	2.2146245752810588e-08	1.2926116373599176e-09	2.6089878887516774e-07	8.588254496921145e-10	1.7782305627684896e-08	8.928711912804424e-09	1.410486741987156e-07	2.163813057425506e-06	3.4164167503694804e-06	5.582603695953111e-09	5.194198511382527e-09	1.708755563849571e-08	2.2359820931638428e-07	1.0119844703600451e-06	3.688887606691407e-10	1.5495338648717875e-09	1.8431827887729052e-08	2.7824747907712003e-08	2.500881220741413e-11	2.670378876833181e-09	2.823048183871967e-08	1.7979430880748806e-08	1.1272775104328231e-08	1.2736571379286889e-09	7.9130071065432e-07	1.1462925870814124e-06	7.756661506595899e-07	2.6587832117668456e-10	7.599608291930265e-09	6.2930813761802564e-09	2.513140504395709e-06	1.509055308029376e-09	2.0198466295212743e-08	7.95059113488141e-11	1.552196274555207e-08	1.4005600507451082e-08	3.7572229522639846e-06	9.505867631517046e-11	1.2094554215181936e-09	3.725456148014801e-10	7.399567721286558e-06	nan	3.192677006527738e-09	
EEZ188	5.8557191024052194e-06	9.840912642063685e-09	0.001031562945120256	2.2645698423815684e-08	8.403256982132879e-08	6.4694430891410795e-06	1.3127971046082793e-05	0.0004240378790726939	8.856202547832759e-06	2.375221068703547e-08	2.3005273491504635e-05	1.5331120594866162e-07	0.0027337009853267927	0.007320926479757749	7.616214549609251e-09	4.408239807319215e-08	2.541469414404023e-07	0.00015271805928543272	2.921616804271695e-07	1.5581035588658804e-06	9.738853951830169e-08	2.410966625276842e-05	5.735326076384676e-08	1.6377710061141852e-08	0.0006980582813409181	7.039640864183323e-06	7.383738588285943e-06	2.12073587476031e-06	1.348856479634126e-07	4.170648879187002e-08	1.625962833565838e-06	1.1449409248896334e-07	4.2901635308089225e-07	1.0232254624590618e-09	6.802229502833232e-08	0.00018193324315251473	6.3325571295535055e-06	3.2167822219192337e-09	1.034063755206922e-06	2.2810110585582353e-07	0.0161145327393758	nan	8.036136399277122e-08	
