
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
EEZ65	0.0003851901548828828	1.2907917486182575e-05	0.0078048607581337704	7.69149980721163e-05	0.00017941227808899405	0.0016656550647250752	0.022824981813463964	0.010049945190399834	5.1453871949056676e-05	0.0028971247260613656	0.00013794711432248835	0.027111038639719046	0.2270508271843669	1.6715231004448587e-05	0.00011340241341022402	0.07344810491243627	0.013406787712875746	0.00014914426152365365	0.00011754298808401009	0.00019529429769539561	5.1017400449379e-05	9.196822651750919e-06	0.012951083454568217	0.016103108694061858	0.005478167016121555	0.00041024504972279375	6.878190633894021e-05	0.00011904269324965049	4.629550618632429e-05	0.002527582374216839	1.857811013552733e-05	0.00018618033610934086	9.825169924369448e-07	0.00011979097215991693	3.1657149258329084e-05	
EEZ71	0.0014289599185129361	0.0001392626940978544	0.05267271469916458	0.00047471363107925166	0.0012364847869781998	0.008215491355076985	0.22085054365470386	0.05056475673927274	0.0003798980326721789	0.005314782564737513	0.0006730021983448912	0.18378685934254427	0.9669494752789177	0.00018327484045621703	0.000990438202969298	0.31337842607892924	7.17547304649805	0.0005132777963816719	0.0007549057774648854	0.0023142583620201647	0.00036378953401268265	4.301104884732569e-05	0.10388149566810585	0.04904780367099857	0.019700169886143138	0.0009443303836732271	0.0005398460046465003	0.001964062922996205	0.0006058381426724076	0.019499590588223384	0.0001316528645394127	0.0009063379887310391	4.844878978050221e-06	0.0011862476454399997	0.00013577969730618574	
EEZ91	4.188117537235886e-05	1.4625628914932677e-06	0.0004338027000676276	7.028021258682128e-08	4.7408277702681384e-05	1.5899557662857378e-05	0.0002375001793797071	6.839261386716639e-07	2.4655217812934533e-09	0.07839619842005402	1.0223807143413538e-09	0.006452963311553073	0.0003638150105493673	8.443176448640631e-06	2.063880530528036e-06	0.0003380888999993964	1.1836324708148015e-06	0.00022923503071906666	1.0786034230764987e-08	2.3736602441277502e-05	1.3927043336387998e-09	6.736133748537806e-09	0.0001637853288210273	4.857306733096328e-07	4.230314752952348e-06	0.3550236452103272	6.171275673106575e-08	1.5031194171061702e-06	3.9700852583416314e-08	1.55005642268464e-08	1.1625560204332897e-05	1.126132809474641e-06	6.60175218863608e-10	5.746634313878253e-08	0.0021451763207036333	
EEZ99	8.408296939357533e-09	1.4820377976514722e-09	1.1463203277125795e-06	9.402944310516662e-11	2.325655466494366e-08	1.1484833815136308e-08	4.748968347854483e-06	7.743183249891583e-08	1.0019878182986073e-09	0.0003210471472009455	6.069968450129729e-10	0.00011588080729873335	5.668686497323446e-06	1.929876503331802e-09	1.5467306720919625e-09	8.562752255125227e-06	7.380673467305334e-10	9.199980616077076e-08	1.3273032121217918e-10	1.2936953459960886e-07	2.5747475075675296e-10	2.2258093043601837e-11	6.977788644711021e-07	3.7089596923267123e-09	2.4056352480960978e-08	2.211720682398415e-05	4.018052761366606e-10	7.391862858283798e-10	2.4652481723952444e-10	2.631303116040616e-08	1.8005893785465252e-09	7.843298213885783e-10	1.0349532359882127e-12	2.1838651016002793e-10	4.305004214352048e-08	
EEZ100	3.12493468492207e-07	1.601002311838478e-08	9.468517836103985e-06	6.934140328420469e-08	1.9818623777681877e-07	1.2976941477277518e-06	3.2548975193603564e-05	9.969662456004024e-06	9.731785700777735e-08	6.860251711396365e-06	9.909529145730372e-08	2.7375360369235315e-05	0.0005689620620348369	4.299585458918876e-08	1.529652336591672e-07	0.0002433466251549057	1.0120426541699023e-05	1.9829831314764752e-07	1.2696370274735218e-07	2.812973664239226e-07	7.90079720267138e-08	3.4408350613753e-09	1.5336043362088267e-05	1.02377851006159e-05	4.562254334996885e-06	5.356037496397113e-07	5.548380624751523e-08	1.4961619977825262e-07	4.8675722618845424e-08	2.9256080656679845e-06	3.697089701011725e-08	1.1738798169923256e-07	2.660302464624786e-10	7.8487332016995e-08	5.2578563765403906e-08	
EEZ108	0.00034021875871214415	3.5625620289333554e-05	0.04682372186922718	1.1700662324629359e-05	0.0007085965109734719	0.0009487154054018495	0.09032061948249494	0.002691447485623616	1.1247360498561276e-05	0.06854093219214084	1.9139379272435453e-05	0.539419212103214	1.1639100838100098	2.6113200509912438e-05	5.858503044936013e-05	8.656388580849223	0.0027794009634468054	0.0007962353940580071	2.519867671641867e-05	0.0018820639011538247	7.742915995591551e-06	6.59191719379707e-07	0.05204820337897883	0.00028047068892995985	0.0011600229163397059	0.017604109837944044	1.8878405116552478e-05	0.00011668413160944773	4.969579178922769e-06	0.0005815909507528596	3.0196406425261888e-05	7.132408913900768e-05	9.449908868871004e-08	2.158473676375442e-05	0.0008296803324790127	
EEZ109	1.0918102248219304e-06	3.800671729180444e-08	0.00011423033936587843	9.448003616330437e-09	5.132748855255154e-06	1.6488079897943137e-06	8.654637253388985e-05	1.2811610767992056e-06	1.4432005178709946e-08	0.00013048097852915138	1.6151356366032845e-08	0.007209216808346263	0.001522595090629864	8.399999028605404e-08	1.154600761032213e-07	0.00031290812024420314	1.4619513964259942e-09	3.4600961014360486e-06	1.6909898772139433e-08	5.7834809822455705e-06	8.299130788910281e-09	3.885575987412879e-10	6.075588455612529e-05	4.385632698981079e-08	1.0295119460710893e-06	9.82889903169541e-06	6.17610550247765e-09	3.848148061886595e-08	3.5893636869969805e-09	2.6651856438022013e-07	1.1316750482451884e-07	8.567389025826362e-08	1.6722364109025645e-11	1.0015585685714985e-08	1.5622682682249397e-07	
EEZ110	1.108386193488564e-07	3.198341310019221e-09	4.6574503907255215e-06	7.02163650201986e-10	7.057293338154326e-07	2.2701469313054662e-07	6.251341087973282e-06	7.181029202794341e-08	1.1157776143927316e-09	2.735639732914897e-05	1.2785495039218539e-09	0.0021464981131104456	8.318089045850638e-05	8.115462949512413e-09	1.200146976076324e-08	4.119116310706986e-05	-2.559202875665337e-10	2.515006813561047e-07	1.0491111135140265e-09	4.5004608550649036e-07	5.021549823768646e-10	1.3050394103848598e-11	2.2581875774190128e-06	3.106568419052197e-09	1.1666980410860858e-07	1.6928698611877357e-06	3.66016905060137e-10	1.952535970329437e-09	4.2545206051612305e-10	8.634263172125351e-09	1.116928636501551e-08	1.221759286378912e-08	8.932519102264798e-13	1.0997368032749652e-09	2.7256498254760418e-08	
EEZ119	2.634954122600427e-09	1.5809472879749756e-10	8.843382360897995e-08	1.621485507769096e-09	1.150878529972741e-09	2.260609875074891e-08	4.2380659883705297e-07	1.2043115407207483e-07	9.144915703834344e-10	3.35592249497686e-08	1.8544516763984345e-09	4.063758777635555e-07	3.4790687113300616e-06	2.2307810754304538e-10	2.0856870579548354e-09	1.1865740178576127e-06	1.1888669800162224e-06	6.16143768340512e-10	2.30529649736359e-09	2.8228191972765162e-09	7.3340310423751e-10	1.7311407388419896e-11	1.9622368749113085e-07	2.7826108762827804e-07	5.540954282459712e-08	3.577898622162919e-09	1.6209777048533068e-10	2.2289800224123142e-09	8.39279593094531e-10	5.2440617947758856e-08	1.939713183421904e-10	2.0414349008060647e-09	1.0419995563042923e-11	7.210187817181555e-10	6.677347072021507e-10	
EEZ123	1.8258490164262228e-06	1.0672043832624568e-07	0.00014524458358566766	1.8155659995190548e-06	4.634161230032425e-06	1.0350206577381095e-05	0.0002466758465553254	7.896260397975256e-05	1.5257551689777808e-06	1.9861787955890814e-05	4.621345950331129e-06	0.00041453192356379667	0.000929582428862541	1.6200810701319177e-07	8.116638672677634e-07	0.00018832942945313778	0.0006852315005435387	3.7507381193925275e-07	2.0161619771963997e-06	4.861313103297996e-06	1.4480780508851398e-06	8.105858666462541e-08	0.00015329016281440857	0.00020111846688744122	1.80966128835178e-05	2.0493810665313357e-06	3.2339099929923436e-07	9.009662970963701e-07	3.3835122206863463e-06	1.4488695547640082e-05	7.04883990107213e-08	9.914791199623524e-07	1.334461011075733e-08	2.416417838522974e-06	8.095174984426284e-07	
