 OXN dry deposition
 ARC            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        2015   2.50887848E-03   4.95678280E-04   1.13524254E-02   9.16330260E-04   2.68960744E-02   8.56053492E-04   9.34776943E-03   8.67395774E-02   2.93319598E-02   5.04325517E-02   1.27744745E-03  0.171152785       1.59573462E-02   4.03119139E-02   3.97104246E-04   3.67881119E-04   2.87527568E-03   1.68222853E-03   9.79612232E-04   2.07947493E-02   1.38042739E-03   2.99396086E-02   4.24383965E-04   1.62429698E-02   2.10081376E-02  0.104507454       3.70518002E-03   1.48383691E-03  0.167873070      0.111772373       3.21533764E-04   4.28391015E-03   1.17296516E-03   2.53306273E-02   8.21046531E-03  0.331270605       3.61113140E-04   6.71794638E-04   7.20782578E-02   1.78876836E-02
        2016   1.48264004E-03   3.18692240E-04   8.54376704E-03   3.22802400E-04   1.27105694E-02   3.71096365E-04   5.00785699E-03   6.39625862E-02   3.21339294E-02   2.53611039E-02   5.06458338E-04  0.145417243       8.85223132E-03   3.38132307E-02   3.18994891E-04   2.67016410E-04   1.18336815E-03   2.67975056E-03   7.50894716E-04   1.13329981E-02   4.84574848E-04   1.33022089E-02   3.54051299E-04   1.78602748E-02   2.72740964E-02   4.84223254E-02   9.93139111E-04   8.74997175E-04  0.133234784      0.119343117       2.73932150E-04   1.12737063E-03   6.04698551E-04   1.39486082E-02   7.93296285E-03  0.516866803       1.25834398E-04   4.58889699E-04   5.25274388E-02   9.47527289E-02
        2017   1.83292152E-03   1.81520343E-04   7.57836690E-03   2.62302376E-04   8.74040462E-03   5.03343937E-04   9.56658088E-03   5.93464598E-02   2.66285818E-02   2.29331907E-02   1.28859712E-03  0.171608806       1.00429719E-02   3.71082611E-02   2.45407631E-04   4.83070762E-04   2.86336080E-03   1.55530183E-03   1.20081753E-03   1.10005504E-02   4.43404220E-04   1.28744124E-02   1.82505973E-04   1.33771785E-02   3.45548540E-02   9.27857608E-02   2.46230932E-03   1.74050615E-03   9.82337669E-02  0.119655862       4.87073150E-04   2.89472518E-03   2.31742000E-04   3.71111301E-03   1.15198391E-02  0.449518949       5.98373044E-05   4.86002449E-04   5.49330749E-02   1.85761470E-02
        2018   1.21690996E-03   3.96640040E-04   5.08707389E-03   4.59700532E-04   1.99863110E-02   2.10296639E-04   5.93118602E-03   4.67205942E-02   2.46274192E-02   2.97427978E-02   5.14372194E-04  0.196843207       5.96311828E-03   3.40209976E-02   2.99136824E-04   1.68067942E-04   2.33098189E-03   2.61182035E-03   6.37457939E-04   1.89692490E-02   3.80110811E-04   1.97752696E-02   1.34471944E-03   1.10283634E-02   2.40190327E-02   9.36756805E-02   4.25785268E-03   2.05749134E-03  0.133600488      0.110150039       1.50772903E-04   3.00328573E-03   4.94633685E-04   2.39824224E-02   9.37491562E-03  0.524905741       3.22767621E-04   4.30270127E-04   4.92723882E-02   2.37364657E-02
        2019   1.47000852E-03   4.11761168E-04   6.48772065E-03   1.98824200E-04   1.12996912E-02   5.31038619E-04   5.29345404E-03   4.85579073E-02   1.70594640E-02   1.51391393E-02   6.49780442E-04  0.136000514       9.18026268E-03   3.08761187E-02   1.65384685E-04   2.66340881E-04   1.30781427E-03   2.28504534E-03   9.41814913E-04   1.29804350E-02   5.49373624E-04   1.50813721E-02   7.41599768E-04   1.42912855E-02   2.42584813E-02   4.83994335E-02   1.82599539E-03   1.43899128E-03   6.65794834E-02   9.99545380E-02   1.67412683E-04   1.36500923E-03   7.25446327E-04   1.66111011E-02   1.06353806E-02  0.492029101       2.52040860E-04   1.01106917E-03   5.39343134E-02   8.52461234E-02
        2020   1.79286872E-03   2.24758638E-04   6.79752510E-03   5.95838414E-04   1.87361054E-02   6.74786221E-04   8.92334525E-03   6.96199760E-02   2.08577998E-02   1.44589189E-02   1.18411274E-03   9.14533287E-02   1.24272155E-02   3.03463079E-02   3.53577547E-04   2.68041302E-04   1.71730947E-03   1.93590566E-03   9.22601088E-04   1.83395129E-02   7.20448850E-04   1.52801415E-02   7.70126586E-04   1.21583641E-02   2.57608406E-02   5.90077601E-02   2.70417333E-03   1.83547975E-03   7.70384148E-02  0.111200601       2.03293166E-04   1.72616460E-03   3.13380314E-03   2.33015064E-02   8.95982329E-03  0.391259342       5.37204323E-04   9.95725743E-04   4.91814725E-02   1.76956058E-02
 BAP            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        1995  0.128200442       2.04343982E-02  0.411881894       2.90330704E-02  0.330620229       6.24236204E-02  0.907401860       4.22292995       1.50769842      0.262305140      0.140645638       1.10342968      0.886843026       3.35946226       1.27837518E-02   1.54908001E-02  0.162260532       9.45869088E-02  0.357425928      0.256191611       2.63850540E-02  0.230885163       3.79766673E-02  0.523357451      0.513006926       2.46064830      0.156790480       2.65756492E-02   1.35776460       1.64030540       3.15416716E-02  0.165709764       1.31557975E-02  0.865986109      0.257182837       5.07298231       2.57053250E-03   3.29954475E-02   1.53652835      0.791602790    
        1996  0.174324855       3.23150232E-02  0.335611463       4.77012582E-02  0.916335404       4.93157767E-02  0.853317797       3.22724152       1.85804236      0.326152235       9.73216966E-02   1.16384184      0.666903794       1.98866475       5.36874384E-02   3.92352231E-02  0.287921131       5.38580231E-02  0.398874849      0.561367571       2.24001184E-02  0.450816423       6.18727393E-02  0.500957966      0.341362745       4.05360937      0.257401377       6.88846409E-02   1.95387316       1.44272149       5.36316149E-02  0.201466233       4.12459634E-02   1.27992332      0.195752367       4.97301769       4.35565785E-03   4.63590212E-02   1.39819491      0.757722497    
        1997   8.30665156E-02   3.70772369E-02  0.299081206       3.99088785E-02  0.338123113       4.27373908E-02  0.450997055       1.66444838      0.976319551      0.313282788      0.272445917       1.35871840      0.960177422       3.16131258       5.11523634E-02   2.98036579E-02  0.246711537      0.115238994      0.336594343      0.243555233       2.13877894E-02  0.242919371       1.61333326E-02  0.240400508      0.570559680       2.30944276       9.34316143E-02   4.32271473E-02   2.04431891       1.55176687       3.94936539E-02  0.117355928       3.56539935E-02  0.418360710      0.324060231       5.09858608       2.62710010E-03   3.58856544E-02   1.52011991       1.27861702    
        1998   8.65815952E-02   1.41097922E-02  0.416443914       2.77642366E-02  0.428289562       1.85181834E-02  0.463460684       3.06089234       1.43864477      0.254599750      0.287575722      0.965187490      0.878745317       3.30889726       1.52109321E-02   1.57155711E-02  0.207530469      0.121360980      0.125835165      0.225914225       3.53074744E-02  0.239778459       1.75806917E-02  0.566212356      0.398736000       2.12176180      0.128941327       2.12616958E-02   1.63863730       1.43888795       2.67849490E-02  0.144281998       3.67679596E-02  0.725073695      0.262969345       4.79828691       5.48339169E-03   3.24458033E-02   1.81501937      0.558505595    
        1999  0.105701536       2.38621812E-02  0.498156875       3.96878831E-02  0.387923896       3.93288806E-02  0.469253242       3.18654943       1.23544383      0.199578121      0.283037007      0.892001987       1.16364598       3.08692670       8.38999636E-03   1.78101137E-02  0.177394524      0.137846649      0.226927429      0.164253563       3.57488580E-02  0.206593007       1.34039093E-02  0.614829421      0.396706164       2.43149662      0.127472326       3.52205969E-02   1.29715168       1.36182833       3.58800180E-02  0.116628125       8.08911957E-03  0.456348091      0.313533306       5.56556273       6.03816984E-03   3.25123332E-02   1.87301505      0.631124258    
        2000  0.176083535       4.49455567E-02  0.569810510       8.72713998E-02  0.445182294       4.84471656E-02  0.783382654       3.31430650       1.34712374      0.143530324      0.268700987      0.728229344       1.25310326       3.26094103       4.84805889E-02   3.53976078E-02  0.298740089      0.148631707      0.376477391      0.179214925       4.04986292E-02  0.164039075       1.44571783E-02  0.592407525      0.385482877       2.63003111      0.229197964       7.52973333E-02   1.09980953       1.19514155       5.41741960E-02  0.174095795       3.47152203E-02  0.779354870      0.350804210       5.78897524       1.15225706E-02   4.43295911E-02   2.14344025      0.748425245    
