,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC,RU
EEZ65,0.492370658738046,0.033961388791645,3.0267235255715,0.028880795876248,0.287913792771533,0.215781122301801,0.994148158174457,15.22367626718,2.95734151215539,0.084902899645359,1.33101175246586,0.56330066547126,6.86916706318741,46.4116553849309,0.03740001776558,0.042280874774341,0.225383090331375,6.02848350167772,1.45522310475957,0.299936122097681,0.206518623215722,0.239973063814844,0.117611867966043,0.030870376301675,5.67148243346309,8.80992909259759,3.91539074380011,0.364203074755137,0.139357124025807,0.101565770040695,1.90583272545387,0.03895900747444,0.164634435445261,0.05488866983064,0.52874021752016,19.7292786154341,5.04428316308418,0.015942077195138,0.497242857363659,0.334602004920048,109.20941514588,nan,1.06452699177708
EEZ71,0.725877833979464,0.092185517903322,5.47862127879905,0.049755383602478,0.404306465476487,0.361959941926209,1.41787017339572,24.330986209419,3.96642271455583,0.125555293752986,2.15079083044487,0.979935091633153,13.1003738191451,55.4877068359899,0.056554858114785,0.079725226545697,0.339089853722631,8.51919085512789,20.0770417650753,0.555231868302728,0.315050649297652,0.442229957644747,0.189257789921371,0.065628636613504,9.54117573246035,11.0911621380482,5.06595257988238,0.448032123668241,0.206897973122182,0.151525357196212,2.78306003379446,0.071889960049512,0.249135121829556,0.087684810735782,0.818283320807778,40.3352388380551,7.3659395086017,0.030479344012528,0.70143267031524,0.667623483645286,162.857262702012,nan,2.11606123635861
EEZ91,0.177635495167718,0.021974008775141,1.09861340900685,0.012551774738361,0.025422340701553,0.144266092453543,0.182114267544884,3.08126791626361,0.146753477338415,0.006399766263001,34.7363145675265,0.025851889620926,8.07231669851422,5.63307829034191,0.024999687973528,0.044326211342583,0.040390472667064,0.876556172262837,0.027734875602467,0.912451325470146,0.020310322546897,0.10795304211264,0.016315071382929,0.024957011954463,1.49544550864438,0.133207528163515,0.387946150213427,33.5267992371774,0.033204766490719,0.021458626401271,0.068696983391223,0.039005413728903,0.026334889509579,0.024224015844979,0.052132353802811,130.617429175228,0.307023535534818,0.004744127870854,11.9488318512203,5.64266690471558,19.7481576624366,nan,0.163126546187946
EEZ99,0.005453634430792,0.00052757679222,0.075396926780987,0.000548169317917,0.000327781417384,0.004929761470617,0.012313193525672,0.22121977720699,0.010112962445199,0.000350103097366,0.872795004090445,0.001774743034787,0.607934210824196,0.403908982671529,0.000698537990312,0.000594085298368,0.00137704828069,0.074688748490386,0.001120298614879,0.012720911698246,0.000770549459875,0.008463211753502,0.000679054432832,0.000328043691036,0.082299753546901,0.007072230408228,0.026219928756996,0.173476772171897,0.001075723457379,0.000767477228004,0.006009522520716,0.000600940515453,0.001202722010139,0.000544218401499,0.002620570320686,1.45748026020151,0.021079898692548,0.00018576533847,0.05848184569509,0.030799209927554,1.45461466543567,nan,0.003387960217825
EEZ100,0.014470653811936,0.000713622454737,0.108878957233951,0.000458710461035,0.006101167311174,0.007973892846763,0.032843155403432,0.532836280833737,0.088395032384989,0.003039374069285,0.064835580539335,0.015625468059493,0.262247775073621,2.1759174942488,0.000524615022974,0.001529216184183,0.006771543471366,0.355408635604674,0.033314696091358,0.013077383979227,0.00623526953843,0.009125880720826,0.00398896160932,0.000703287695621,0.200356554443977,0.214795157782692,0.117372364205291,0.01710919532115,0.004293288271429,0.001942008190449,0.054863877619402,0.001352006489982,0.005026478300213,0.000546815234679,0.012187412436825,0.818079585377889,0.150137503826404,0.000296148569406,0.019935046221985,0.01381728455579,3.74010578426135,nan,0.028316650314155
EEZ108,0.546818743590768,0.035407310521338,7.49676974177766,0.019187187955083,0.223874874723446,0.452459947677823,1.12444075013248,23.7316855940278,1.83725806486643,0.069850374804552,9.55203721330159,0.292575757671775,27.9159505119907,82.876050068708,0.038896852863365,0.051002134134456,0.136228127204871,29.5668284630349,0.584183243976918,0.960891367115292,0.242733079373055,0.573207088329252,0.134975127698997,0.020237206959374,11.1280796321715,1.66715198049281,3.7765133928583,2.90912535606599,0.082565666692715,0.050110932613148,0.898706787195087,0.045543718147034,0.106465555306806,0.039847796520681,0.29624051788165,78.2119944502454,3.62082521681339,0.0145336680907,2.67118867486034,1.60855605624543,157.315548727336,nan,0.631279224322122
EEZ109,0.036335980935041,0.001648870166425,0.502801775445588,0.001412660424041,0.016342455529453,0.031265171527315,0.093143520378782,1.35317686998444,0.066212022726093,0.004462526203797,0.72416909794337,0.021658960041229,2.27407949965469,3.7146181137329,0.002541347526966,0.002890896951218,0.007996088925561,0.416355451929453,0.006206361264187,0.059283146912652,0.014306582324912,0.0392666162187,0.009449909398218,0.001648685570261,0.609816086512884,0.048648900110784,0.276901638914368,0.146286619079234,0.007168315616362,0.003307288005804,0.043475607584297,0.00297759787755,0.008575658392391,0.003977627279509,0.018446610133784,2.83111933391949,0.148651882365618,0.000932267331478,0.131642165086241,0.048445784118497,15.9400610668176,nan,0.040748016563666
EEZ110,0.011197039798618,0.000456000167428,0.14856057406438,0.000468814634452,0.002994635286761,0.01029649484153,0.026131619012745,0.390605249141887,0.01785211756821,0.00115745516489,0.282468487242513,0.005131365763599,0.910661932742147,1.13859950837981,0.00074399864785,0.000938446259173,0.002577455940875,0.144433369964378,0.002183910391721,0.019377340687347,0.003327756577971,0.012937506871706,0.002296780384442,0.000550165744377,0.180410088442682,0.013502257428861,0.065452260648245,0.050359507965194,0.002396203477447,0.000934868055258,0.01069954639248,0.000930194962669,0.002574356156618,0.001237958064707,0.005201590842799,0.944744995982427,0.03996938486893,0.000305383826152,0.046856638484014,0.018533114003739,5.09070116308361,nan,0.007547103025465
EEZ119,0.001761073553728,0.000139178328839,0.012555363915941,4.12344984934265E-05,0.000812774040792,0.000807985638232,0.004350171695178,0.067115627861892,0.010314300799983,0.000305791052788,0.004797596739485,0.002518548827354,0.031029554465961,0.182179419761756,5.04252571489149E-05,0.000108344225382,0.000751095696414,0.025243538280809,0.013717736575068,0.001071859130897,0.0006143442843,0.001078546885953,0.000363483838769,0.00010743428567,0.024248177710686,0.031694991641242,0.01392833087805,0.001034414377189,0.000273738730112,0.000256068837209,0.00688781245265,0.000124843345797,0.000565733809811,7.75804677550794E-05,0.001651245920757,0.090069215199258,0.018308350695927,5.21480142975431E-05,0.001657942543913,0.001167352462142,0.471230420980563,nan,0.004484576809122
EEZ123,0.038274157477316,0.00460569669154,0.296520797526095,0.003395480775847,0.031648833116399,0.017275797038349,0.071136651494416,1.21729927745536,0.267785045245969,0.01280673656705,0.0851394822774,0.105443788415566,0.60210080303497,2.75727747478549,0.005652694109823,0.00317472390523,0.021242939648744,0.269591521686776,0.341903796259944,0.025573573839558,0.025952693171314,0.022768423552742,0.017896904919115,0.004005634653464,0.508639385676833,1.06606926646549,0.323148734460026,0.016869935420482,0.012822189675527,0.009017175260508,0.248023419384709,0.00264874722955,0.015697793506723,0.005636418558966,0.060413500954987,1.45777061923662,0.527089770730685,0.001832581774999,0.036978050059198,0.052368644168879,7.9443510955087,nan,0.280678589655358
