,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC
EEZ99,0.017911408322799,0.001710309024465,0.098182971784547,0.001782536146528,0.003716322025721,0.014183693051107,0.028773529481347,0.305049628913059,0.018877818714953,0.000925571912219,0.931396735351099,0.005696073826872,0.742083136460114,0.617691561205364,0.001643960881888,0.00300348968528,0.007048822620313,0.080923944420112,0.004305886312631,0.043474843576664,0.002473992399057,0.008590815082926,0.001728466356794,0.002269083305034,0.1269264954022,0.015183143333607,0.052665044552698,0.183202117596993,0.005437847386137,0.002035287279024,0.017217290592862,0.011905801171192,0.002594517837411,0.005984270450734,0.002492215692224,0.008666609496478,1.44903183899651,0.037830976443573,0.000609058972726,0.087452773722278,0.070338617341443,5.92473411768969,nan
EEZ100,0.03270969785627,0.001774130663309,0.117551444326459,0.001424632211001,0.00894451299578,0.014282142377594,0.061046311112351,0.672527456376348,0.095328991242594,0.003344533378211,0.13820806437387,0.018375376940955,0.352385069148833,2.02590585182226,0.003083282862715,0.003549539876661,0.014080487346646,0.356939153206607,0.031649741411357,0.044738290306611,0.00687211086406,0.009164282251643,0.004094553475777,0.002119898817162,0.228703852993478,0.144169503088586,0.17544052181384,0.02023702906354,0.012441994548284,0.005787652975098,0.08829884537343,0.048030560050753,0.004252590163306,0.009058867879506,0.004009685273354,0.018841193512465,0.965568422681769,0.18087010719885,0.001115353390651,0.034551004006934,0.033896493207996,12.1224087655795,nan
EEZ108,1.07069947427171,0.154207447093461,7.83102635402815,0.113348053502511,0.299068588514787,1.05759469216354,1.61798028478289,25.7215556617365,2.24925246435742,0.126855308280765,16.9278034787132,0.579286469458054,37.7061665026295,90.5535977391957,0.180573213053293,0.206896858553073,0.418788714981095,28.6701209341546,0.993397060181052,3.13795023318676,0.25384737008859,0.66120971488457,0.172070176096812,0.14556242505207,11.4838009533388,2.94695480729694,3.60252595452011,3.77983402818601,0.289248644224308,0.18833775270448,2.75405215935292,1.37835935695421,0.217760750370816,0.262921320193089,0.21819003839366,0.475967960163422,95.8004326600874,4.61666340640686,0.094695758852871,4.27992214659599,2.79605263796217,580.641347167041,nan
EEZ109,0.056546044051036,0.006932122280209,0.476321637384374,0.007183470205736,0.034571884723052,0.047593869154516,0.111163953472442,1.79452090602881,0.092616330341417,0.008151229183759,1.08029157386665,0.030670383864706,2.19275765011169,3.59745257508208,0.012638333889979,0.008174819865827,0.023397562916874,0.513294554551338,0.020446378047838,0.132983436388707,0.023735796826923,0.036352155369362,0.013340795228671,0.005358512640002,0.583498602468848,0.114599442525908,0.447098162235572,0.176498603790973,0.026245735914425,0.010075031176818,0.310438393149088,0.065992255512509,0.007591469281298,0.014772159242546,0.02032240264941,0.053556944742872,3.45545128459863,0.210885569481396,0.007134843976497,0.156667043951736,0.117952941581776,55.9512219647192,nan
EEZ110,0.015029101439343,0.001872886321134,0.131680247868412,0.002713392032493,0.009413136029583,0.011200492310834,0.035389777138379,0.460044090767994,0.025219769839693,0.002322696425087,0.400871026586326,0.007195379471258,0.764326397462944,1.17186556930111,0.004221737361523,0.002399591140255,0.007412881353032,0.182055130685536,0.006759727267779,0.039489759609703,0.006049803687956,0.010651182095914,0.003220498309311,0.002147820986511,0.162961645882111,0.032403796357049,0.12166170469086,0.06515918901599,0.007096209763736,0.003403173222298,0.07355758608389,0.016567042339005,0.002491686745116,0.005005248290095,0.006198650947911,0.016505917192372,1.21892937865416,0.0602554382229,0.001678136422212,0.059813600665094,0.042552514411804,18.2839031936484,nan
EEZ119,0.00334719816642,0.000279669697884,0.011739383227381,0.000140387956278,0.001303438051228,0.002047279345985,0.005129234844285,0.064233727298362,0.012079313237225,0.000516726219639,0.011760438218478,0.002904087128124,0.035093741369699,0.173827766868735,0.000271015631862,0.000273469726433,0.001286605831797,0.025677073083855,0.01039543216395,0.005327213600808,0.001023601123488,0.000886658781352,0.000559304689486,0.000167486025157,0.021795273224939,0.020166475055869,0.019028567941268,0.001906920444193,0.000545637201137,0.000409848593496,0.015004123984446,0.006668612724631,0.000355043804015,0.000979730209029,0.000503467425205,0.002297935277687,0.096864127552442,0.022524215232362,0.00011748007957,0.003155534348178,0.001471125453438,1.27922505279951,nan
EEZ123,0.080720606163269,0.013396233565718,0.336002104284295,0.006142847767623,0.037696122783604,0.049254194062616,0.140641547651319,1.79576809364925,0.342318137493648,0.022091871259478,0.22149427269066,0.162216036325348,0.726367788422106,2.80665733326638,0.008203642571555,0.009190012070526,0.038481901877784,0.314061967826095,0.242111168437725,0.124438424278549,0.04226780338837,0.031572245270379,0.027038873749075,0.003873992497223,0.592488076365559,0.811217736928975,0.60472322561915,0.024577284301775,0.012772349818906,0.018330075135712,0.468403991793126,0.286903272283948,0.009757290033869,0.028513625278446,0.013870502966912,0.064814166491258,1.28422210649221,0.758318726698582,0.004274015360363,0.087043690802659,0.086684700075146,28.2077507192874,nan
EEZ185,0.339249715263446,0.036001274257845,1.2574712205537,0.016524771633828,0.207713903930826,0.142829855488234,0.759796329525881,8.73347942189441,2.21613059886119,0.071905411539252,0.563471476064286,0.276538950519732,2.98988737819031,7.19791453423592,0.027749463692165,0.052522501860303,0.191026169613122,0.531394240271746,0.030668957412661,0.409480408567392,0.147199539740712,0.110251185270972,0.083738520347077,0.019946572058992,2.34255055320379,1.14002123749853,3.33869939942381,0.06671383528049,0.131395871086285,0.079231579908482,1.59044545473738,1.65245687073483,0.042814429100752,0.146794090158332,0.032748137044023,0.329253179429958,1.56571373405373,5.89650776606414,0.015105844095823,0.167424913108747,0.228822748651104,134.991117560943,nan
EEZ187,0.003028136721682,0.000355903487569,0.010927033736302,0.000177510351563,0.002179283186204,0.001431012597571,0.007248013979903,0.078636635308128,0.01744009262407,0.000826953947844,0.004029138033129,0.003305791390775,0.025105495928788,0.056547482069414,0.000269764010769,0.000472580226399,0.001814348445053,0.00429697517769,0.000208908656406,0.003410517577839,0.001701411131042,0.000963888250289,0.000948302803059,0.000251527109726,0.020563944756257,0.012754905749845,0.031540165099422,0.000481902215083,0.001492176407318,0.000901313862012,0.016030914118491,0.018161815238758,0.000382251245227,0.001456820118554,0.000293347478202,0.003828502731822,0.012019101408149,0.040785570093547,0.000172870525077,0.001448814995291,0.002438249628592,1.22133756198256,nan
EEZ188,0.051264449571971,0.011174096481597,0.429228649776965,0.005221046050657,0.033375506638243,0.055730244098833,0.128163879240292,1.594562644668,0.107932945654505,0.007733510481906,0.476597495822012,0.025364185516801,2.70956642585407,4.1737328954834,0.008181045262149,0.010489463437648,0.021886406105896,0.336252149347781,0.023747752729303,0.160926514396528,0.021119951938128,0.037331684517947,0.010005222921405,0.003814629279552,0.572309454426642,0.138449964713495,0.371334312618656,0.087012205283087,0.02062717073596,0.011570346800948,0.231484447944943,0.067020016584288,0.010437374548011,0.012868600017566,0.008646432554589,0.046026826717074,1.41308219222004,0.224967380813052,0.001844559420455,0.127262628976464,0.114531151848186,55.5794106570022,nan
