,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOA,NOS,BIC,RU
EEZ65,0.000640002852214,1.87496067502526E-05,0.016221025267653,4.57915040578986E-06,8.58009801570682E-05,0.00024054417579,0.001987974345627,0.044713001880898,0.021906406462545,7.48995735617319E-05,0.002485226372777,0.000650979665959,0.020297631034057,0.70533424203279,1.16194271586623E-06,2.96534815360984E-05,0.000251845209286,0.07692465488784,0.029729891973165,0.000111244345052,0.000187049649402,0.000618019663636,9.74383125229948E-05,1.26314505671916E-05,0.035642403767905,0.169003459066169,0.007414764663603,0.000772194740082,5.22780770017895E-05,6.0983916524782E-05,0.008088613322593,3.95841065510429E-05,0.000213477824382,1.15583950247355E-07,0.000123932855386,0.129820258175644,0.018741225817772,9.39943912036336E-07,0.000197927214301,0.000119949163228,1.49354788127288,nan,0.000111031032308
EEZ71,0.002152167101409,0.000102207521296,0.061131339323701,2.32393585412995E-05,0.000273052691764,0.000930576707205,0.004725770998262,0.160438339592794,0.045539166006202,0.000224194861647,0.004988907161176,0.001830282812205,0.086888701516883,1.19761035138089,7.64492684813606E-06,0.000108967515142,0.000693551186859,0.205311997290231,6.35383584379548,0.000577944700718,0.000522153522534,0.003399463271839,0.000321700655433,5.11647078457999E-05,0.122911838492048,0.222716032101067,0.014263268292239,0.001276233008688,0.000149473577164,0.000149575551015,0.017985612059969,0.000153796983546,0.000566620414802,1.86056641876554E-06,0.000464472258382,0.523380254284244,0.039442480268366,5.36277639828626E-06,0.000323970957037,0.000263945823936,2.51156854650023,nan,0.000549733072122
EEZ91,7.92690825074469E-05,3.36348004745901E-06,0.001668628525365,3.81116062332756E-07,7.32603972561756E-07,7.59314282151E-05,3.22996970714651E-05,0.001540113281217,2.12732619886876E-05,8.849604697249E-08,0.435381044238351,6.57766095595554E-07,0.019780620109956,0.006029725074869,7.67091009737391E-07,1.14400848642739E-05,5.9486903340645E-06,0.001797254763346,7.37134167399688E-06,0.000298680542959,3.32298840432917E-07,0.000166032641804,1.77614465252448E-07,3.87725625915126E-07,0.001110422144142,3.9258808201323E-05,1.69836242563906E-05,1.94792458393586,5.6634642889645E-07,1.12032058451174E-06,4.17465566399346E-06,1.63491300269494E-05,4.19661528951003E-06,1.60952898387122E-07,4.37962337624228E-07,4.80639408942715,1.54800383522963E-05,5.16675501150197E-08,0.021332511347096,0.005310363088175,0.026036335651435,nan,7.87078331883378E-07
EEZ99,4.37346915113846E-08,3.27200496902006E-09,9.83244162755804E-06,1.79599022010794E-10,-2.35058316302311E-10,8.71422538891104E-08,5.90417172065018E-08,1.04465783192052E-05,3.17638720243994E-07,8.91510368091685E-10,0.000301555900875,5.0904460544489E-09,0.000112383816849,6.30709744561514E-05,2.22492019399121E-10,6.1674481503675E-09,6.90332176681021E-09,1.64551346747931E-05,1.83762191330453E-08,1.27828613385648E-07,1.34533415527259E-09,7.02900566407285E-07,1.44379138877194E-09,1.21499744586922E-10,7.68129134826084E-06,1.12242888254952E-07,6.89174985060107E-08,5.07624402305602E-05,1.34993446212959E-09,1.25218423944131E-09,1.14237926773394E-07,8.32353197694565E-09,4.22837443738693E-09,4.17279710056821E-11,1.13021322306276E-09,0.000675438980642,3.7498907581997E-07,3.86420360072887E-11,5.96019991575426E-07,2.34582999695689E-07,0.000258540813515,nan,3.61043059922743E-10
EEZ100,8.35851950289322E-07,1.51758016999288E-08,1.87302773747886E-05,4.11498686596884E-09,5.91651167030107E-08,3.23421891267326E-07,3.37220540058672E-06,6.98736652520872E-05,2.22666181645953E-05,8.47166056516414E-08,3.93155529014731E-06,3.99698705498818E-07,2.62796062964226E-05,0.001528582197507,1.3575686929059E-09,6.28173431785158E-08,3.97548141026147E-07,0.000242977634201,1.68208040202037E-05,2.19449628702939E-07,1.54224353559228E-07,8.57570212661261E-07,1.10723210400544E-07,1.34014017635664E-08,4.64338371496108E-05,8.58066724460427E-05,8.6489179098731E-06,9.95210993276167E-07,9.97009410715576E-08,3.86703520246725E-08,5.43829400696564E-06,7.12065025696633E-08,2.83335771175429E-07,-6.47081712581055E-11,1.00848458570289E-07,0.000204747961541,1.67734830249876E-05,4.01748981599133E-10,2.87006725881679E-07,2.14857124773336E-07,0.001911946084216,nan,9.04721816254382E-08
EEZ108,0.00053426706816,2.29312476096256E-05,0.079893369455719,4.35038106863418E-06,1.73621243132161E-05,0.000738973728974,0.00085570215711,0.08430481472932,0.005769740312393,1.41788584320138E-05,0.047772993134447,7.25468953281015E-05,0.263571951686737,2.23237876473577,2.52063974231903E-06,4.08455977747357E-05,7.83580128665374E-05,2.58858392241442,0.006900115492642,0.000785076089137,5.06029666409714E-05,0.003654001498809,2.82492685879187E-05,6.24208362741288E-06,0.109793004206169,0.006767537004367,0.001257290890116,0.019996077268127,2.27690362503819E-05,1.44919556591906E-05,0.001293829202263,5.74521167339949E-05,5.85153454525523E-05,6.81290363806977E-07,2.13074286336536E-05,2.0409553726504,0.005411157813297,1.16879087998921E-06,0.002758485716367,0.002104785056198,2.67930100480592,nan,1.50974497635628E-05
EEZ109,2.34453914421912E-06,4.77354499431583E-08,0.000340220186376,2.87443534153358E-09,8.58019869586381E-08,5.28340932812452E-06,8.06369822645034E-06,0.000372277633053,9.36631728794726E-06,5.30547782553289E-08,0.000171151308098,3.25347141644491E-07,0.002160247183432,0.00513855114608,5.65448031347786E-09,9.63752280705858E-08,2.30488886311652E-07,0.000533319576393,5.32421667555154E-07,2.23415135614381E-06,1.2696510480613E-07,2.0009599020078E-05,9.81755093990397E-08,5.42395895059E-09,0.000315228809794,4.47892772022338E-06,1.03839009565142E-05,2.75152855145344E-05,3.23552285335575E-08,1.92483595345104E-08,2.31507401928447E-06,1.53838102680397E-07,3.04555029292553E-07,2.47877504504759E-09,5.21969648248863E-08,0.002610281508358,1.13034019177064E-05,1.90016854671226E-09,2.2302929670191E-06,5.37630453515054E-07,0.038795509017137,nan,7.58489320651834E-08
EEZ110,2.07518935260116E-07,2.61204072344697E-09,2.97745463235963E-05,2.22448874684819E-10,4.39409856749895E-09,5.99556338764829E-07,7.17810901556952E-07,3.03204601001483E-05,6.91989148326112E-07,4.7728855757028E-09,3.05578049173795E-05,1.82763971008178E-08,0.000362956195486,0.000438940487101,4.07198781669962E-10,7.60732160177075E-09,1.79267629566606E-08,5.68926079663008E-05,5.24437148184149E-08,2.19555126747593E-07,8.46185927277208E-09,2.3827854223261E-06,7.05244675986333E-09,5.3418894761821E-10,2.58065850015741E-05,3.00213008604242E-07,5.6625718539155E-07,4.52555851374285E-06,1.8764333331755E-09,1.20276957025674E-09,1.41511378943259E-07,1.5548777341903E-08,2.26880921047947E-08,1.91708988156353E-10,4.50815882886213E-09,0.000295356789783,8.69829605049562E-07,9.2212631153631E-11,3.68127452143359E-07,1.04870130256637E-07,0.003414691185758,nan,3.01408324561093E-09
EEZ119,8.0390281237441E-09,1.18647632903014E-10,2.23148396509638E-07,1.17676918044888E-11,1.50682521594814E-09,3.75329329710685E-09,2.48279701713953E-08,7.1817322576172E-07,2.99225918411595E-07,1.36485886095083E-09,2.48152297819563E-08,1.0749660266275E-08,3.33498962184861E-07,1.13189892363335E-05,3.50635640033979E-12,2.20638711170335E-10,2.86923289451191E-09,1.13426979981475E-06,2.3150256985023E-06,1.65901250479683E-09,3.33801017119944E-09,8.63028031599712E-09,1.26893237846221E-09,9.17976450901106E-11,6.45370561997376E-07,2.47795289021961E-06,9.67193483981223E-08,6.53439411849433E-09,1.7765309200974E-10,5.11585997660114E-10,1.37111188285686E-07,5.027945994328E-10,2.30048476107665E-09,-2.56446185416218E-12,1.68235880109305E-09,2.61026426144054E-06,2.76951629877735E-07,1.18323150344736E-11,2.27758926214185E-09,1.41197398183431E-09,2.14269341958241E-05,nan,2.22200339251053E-09
EEZ123,2.99393592916276E-06,8.04170273949891E-08,0.000110780265691,2.76719820476516E-08,1.82119046135444E-06,2.46578202525145E-06,8.33540214335767E-06,0.00027693713335,0.000147340585739,2.53357544073137E-06,1.11809797804531E-05,2.21931954318774E-05,0.000146546008255,0.00176844546601,1.82814928792819E-08,8.0271984266912E-08,9.82842473101667E-07,0.000149255818894,0.001074618553907,5.4615191448144E-07,2.64774635740242E-06,5.35126572977072E-06,2.33198901452709E-06,1.37597790787763E-07,0.000221544718575,0.00163789463243,3.43912515176406E-05,2.47265969497744E-06,1.70833273786472E-07,2.5599402162599E-07,9.52751620726311E-05,9.51861133624803E-08,9.33863510629925E-07,1.5413292389525E-08,2.37063040571706E-06,0.000529484031511,0.000163028559979,1.54992420882711E-08,9.6400223715672E-07,1.80138167827733E-06,0.005900707150737,nan,6.81641202898573E-06
