	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
CZ	0.1339063808	0.00389966533333333	32.2445661525333	0.0222631296	2.6626146304	7.37132270933333	1.64254993066667	1.660837888	4.442087424	0.000764739933333333	60.6949386922667	102.207027063467	2.114521088	0.116190446933333	5.3942157312	0.368298837333333	31.8770686634667	14.0409951573333	0.0152232362666667	1.24394632533333	4.41722361173333	12.6967655082667	0.615140829866667	0.0560755712	23.3807719082667	0.00162812546666667	0.0588465621333333	0.662291933866667	1.07926166186667	0.2016249344	0.0674361258666667	0.106793472	0.342507997866667	0.0111613952	7.4708041728	0.7294398464	43.9638512981333	0.326507383466667	2.88306435413333	4.06655986346667	5.4544334848	0.854346069333333	5.37779787093333	5.82476977493333	0.00126254253333333	0.00363825733333333	0.3516097536	2.71991794346667	0.0021009872	2.64625875626667	3.93383335253333	0.118163012266667	4.12349016746667	11.1789277184	0.0113654378666667	0.0565668096	4.0535343104	0.00175180986666667	0.1003058432	418.2090683506	391.984871132733	364.664564633267
DE	0.118549956266667	0.0210691498666667	44.2109700778667	0.0911727189333333	2.22416022186667	84.0507938133333	0.613319133866667	2.8463890432	28.7653735082667	0.00405687306666667	60.9939881984	606.5378820096	12.2966540288	0.804904209066667	37.4971607722667	1.6637444096	259.1204835328	160.528160085333	0.0725151317333333	0.687922312533333	2.0945379328	7.03769586346667	8.24961215146667	0.413184989866667	46.0284493824	0.00453021386666667	0.256447112533333	2.71744832853333	9.24366165333333	1.22708609706667	0.0610653482666667	0.0982699264	0.174993083733333	0.0345230826666667	79.1366511274667	4.7874998272	70.7698491392	2.38996084053333	1.9415261184	2.33255212373333	15.4982394538667	4.24693541546667	2.7413848064	4.0122761216	0.0042805232	0.0161058325333333	0.706586692266667	3.54391681706667	0.00858578933333333	26.6880352256	28.7134995797333	0.0689612245333333	9.83069272746667	121.110528	0.0494774698666667	0.170726656	33.2441954986667	0.739938235733333	0.402041412266667	1793.9452210112	1572.92712498133	1508.78709958453
DK	0.0100830048	0.001695992	0.9775269888	0.0078291952	0.267234577066667	6.19912833706667	0.121401565866667	0.3887087616	0.4280072192	0.0004567981	2.1116936192	22.4979735893333	8.08378149546667	0.1942685696	2.0160958464	0.6357794816	14.3305484970667	33.6927697578667	0.00857991946666667	0.106064699733333	0.196147080533333	0.796393130666667	1.60356037973333	0.0765433770666667	1.69902598826667	0.000111801108333333	0.0343499434666667	0.410616081066667	0.228866440533333	0.2149086208	0.0302004821333333	0.0117203445333333	0.0341391061333333	0.0026028392	9.09651094186667	1.78716672	8.3703267328	0.150362487466667	0.604104157866667	0.457556616533333	2.0341059584	2.51099272533333	0.139036936533333	0.5609745408	-5.06065875e-05	0.00109023933333333	0.1211318528	0.955442722133333	0.000519469333333333	4.0774795264	12.2895837866667	0.0253712490666667	0.544362837333333	31.7497649834667	0.0031124408	0.010358576	3.109605376	0.153925870933333	0.0501291989333333	176.221778870888	124.208085025288	117.355771249033
EE	0.0425711573333333	0.0009384548	1.65721716053333	-0.000556684533333333	0.224119313066667	2.73656326826667	0.4616579072	3.0338301952	0.561627306666667	0.000254039433333333	3.49914862933333	20.7115212117333	3.33097424213333	3.53282730666667	1.47651515733333	5.93639396693333	6.58614299306667	10.5119055872	0.000750134933333333	0.418285943466667	0.354530884266667	1.22554682026667	0.552774894933333	0.0510811349333333	2.75492754773333	0.0001424533	0.160654216533333	3.14019375786667	0.207489245866667	2.15456617813333	0.2477307904	0.0251887061333333	0.0886281557333333	0.00209200786666667	3.975294976	1.61459295573333	18.6441728	0.108930525866667	1.55488843093333	0.545360725333333	20.4573114368	4.4591357952	0.322373358933333	0.966096213333333	0.000162508016666667	0.000951795	0.168039389866667	5.53598211413333	0.000703998933333333	1.522767872	15.7798159701333	0.1631765504	0.862343236266667	8.95960896853333	0.00358781866666667	0.00554976906666667	1.59413876053333	0.0400895445333333	-0.0011113232	162.97219827575	134.042231108817	100.927889966233
ES	0.0208048106666667	0.0102278656	1.72519082666667	0.0370325248	0.0633514624	2.7799453696	0.0888536576	0.251679709866667	1.34304167253333	0.00242318906666667	0.980410231466667	12.8892097877333	0.5919617024	0.0010253244	921.351924394667	0.1661663744	61.1205906432	14.7365036032	0.0215493845333333	0.262715648	0.5912193024	0.765130274133333	1.73228250453333	0.127718903466667	18.3567187968	0.0006881372	0.0351814250666667	0.0785707264	0.255882103466667	0.0545338496	0.0201988821333333	0.0121549877333333	0.0220802624	0.0839960576	2.5609764864	0.6166882304	1.6503570432	89.2640602794667	0.3525062656	0.153893307733333	1.7027670016	0.347228842666667	0.689263752533333	0.4093370368	0.000501775666666667	0.00887795573333333	0.303656925866667	0.509454609066667	0.0055666672	67.9977855658667	0.7258355712	0.0170428522666667	126.839886097067	7.751712768	0.0210944298666667	1.4892355584	43.7302023509333	0.125256507733333	0.393529070933333	1388.24768134793	1139.15610057567	1133.2977647716
FI	0.1140086016	0.0012748136	4.57302043306667	-0.0428236672	0.5945491456	9.07742139733333	1.0737160192	9.04418809173333	1.57264459093333	0.000706162666666667	10.0568585557333	56.1418469376	11.678056448	8.35873942186667	3.20079080106667	72.0429296298667	22.5133221205333	37.351981056	-0.0122111530666667	1.2354330624	1.04516724053333	4.03986732373333	1.8680082432	0.275027899733333	8.02779354453333	0.000759494	0.451556625066667	6.0607676416	0.5329186816	4.38645336746667	0.597333742933333	0.05482528	0.215806890666667	0.0058418608	12.1539220821333	10.2221621930667	46.0889828010667	0.268490632533333	3.1680765952	1.59258801493333	77.9075889834667	26.4215308970667	0.8319639552	2.96391939413333	0.000331211833333333	0.00243518293333333	0.572274346666667	17.5220665002667	0.0040286448	6.91315561813333	50.8581904384	0.4928258048	2.88942216533333	33.7655343786667	0.0134965290666667	-0.0101962997333333	5.5619321856	0.0949202602666667	-0.0060966976	576.432126122634	475.8589417397	354.1233590656
FR	0.0758085546666667	0.0243557077333333	10.1118629205333	0.0854012501333333	0.748111940266667	39.6250360490667	0.156325905066667	0.9081253888	17.9125474645333	0.00718942986666667	11.2461763925333	120.3038322688	2.525069312	0.1304862208	405.31918848	0.534815812266667	729.3982736384	129.938786440533	0.0486418688	0.493537792	1.97439501653333	2.18504000853333	10.3893248682667	0.4999801856	92.477325312	0.00240596373333333	0.1186596864	0.514578705066667	4.29765154133333	0.233834052266667	0.0438186965333333	0.0548858965333333	0.0568026410666667	0.148773085866667	20.9282400256	2.2078857216	14.0063287978667	21.2543100245333	1.09106182826667	0.700754670933333	5.30992769706667	1.45638946133333	2.4961130496	1.15349886293333	0.0020175024	0.0221599637333333	0.677892778666667	1.23234604373333	0.00904388266666667	90.9534472874667	3.7585494016	0.0246441941333333	101.526396381867	89.4615770453333	0.0653175082666667	0.835830715733333	36.2646361429333	0.547741764266667	0.274908296533333	1978.8520675456	1655.13901880747	1622.42305028533
GB	0.00847121013333333	0.0106873077333333	1.4501142528	0.057249152	0.0870491050666667	17.0873498282667	0.0345158528	0.377388032	0.762139170133333	0.00188569466666667	4.29611881813333	54.194077696	5.2394246144	0.291178530133333	13.0998468608	0.8746592256	52.7571004074667	310.8634624	0.022454752	0.0421965824	0.2003413504	0.453887214933333	25.9735552	0.499784123733333	4.17409078613333	0.00592575146666667	0.110856004266667	0.5413267456	0.798082935466667	0.331282363733333	0.0187774250666667	0.00578195786666667	0.00702392533333333	0.0016887544	23.3187486378667	4.18329340586667	9.34615231146667	1.6975265792	0.194659413333333	0.108713079466667	5.20453106346667	1.88945831253333	0.2255733248	0.307645303466667	0.00501163253333333	0.0135015210666667	0.195140437333333	0.4305355776	0.00791907893333333	47.9151740245333	9.92176592213333	0.0145707189333333	1.296429056	85.5432844629333	0.042306688	0.00969288213333333	23.8588635818667	0.799031364266667	0.0266783530666667	711.235980763733	541.808183709867	529.4856086464
GE	0.0377002410666667	4.8428253184	0.187686894933333	23.8342154922667	0.0339571669333333	0.11708928	0.394619255466667	0.255828855466667	0.0517947264	0.165271790933333	0.205834120533333	0.8993456128	0.0804212821333333	-0.00124662213333333	0.402545390933333	0.0743149312	0.461126417066667	0.614102903466667	25.904152576	0.696737928533333	0.049937664	0.1847703552	0.0365089493333333	0.00732445493333333	0.857965431466667	0.005026208	0.7478697984	0.0584151210666667	0.0103253365333333	0.030935392	0.109322914133333	0.0120213056	0.0752955050666667	0.00643528106666667	0.1791515648	0.0937516373333333	0.869156795733333	0.026528352	0.486334976	0.1483569152	20.2840080384	0.0835108949333333	0.0349862805333333	0.119173819733333	0.00276352373333333	0.2794761728	29.3838236330667	2.61777408	0.204919278933333	0.1842965504	0.1822100992	2.14769800533333	1.51780652373333	0.330516104533333	2.2765371392	0.136036104533333	4.32271578453333	-0.00590138293333333	0.159322555733333	127.515430726667	116.2641932424	7.28204773626667
GL	0.000827592666666667	0.000430909566666667	0.113803016533333	-0.000591632	0.007762064	0.385333418666667	0.0406577450666667	0.0951728725333333	0.0431103104	0.000119120066666667	0.172218504533333	1.93941394773333	0.341497378133333	0.0203370730666667	0.319558314666667	0.211571950933333	0.890051857066667	3.77376877226667	-0.0009943482	0.0250204949333333	0.00806358986666667	0.0498203221333333	0.187732753066667	0.373981184	0.236889668266667	8.2751975e-05	0.0382563242666667	0.0656719445333333	0.0287569642666667	0.0570283178666667	0.00335981093333333	0.000154365483333333	0.0014314708	0.000164626166666667	0.5291392	0.952980753066667	0.522833646933333	0.0385209130666667	0.0388373717333333	0.00550472053333333	1.1659091968	0.563577275733333	0.0154618101333333	0.0468768938666667	2.30180145833333e-05	-0.0002163462	0.0293985941333333	0.151024503466667	0.000512606133333333	1.02140777813333	0.732472046933333	0.00631814826666667	0.1364804096	1.71406718293333	0.0007895974	0.00170534826666667	53.4272671744	0.0160636832	0.0275997866666667	70.5750187694729	13.4908476136729	10.6146633014333
GR	3.98255499946667	0.0224757162666667	2.78887082666667	0.0577632128	1.740181504	0.9160689664	39.3482993664	0.616529783466667	0.680154589866667	0.192414651733333	2.65544116906667	7.40874376533333	0.342343611733333	0.0240274453333333	9.20297581226667	0.187177181866667	8.01942132053333	3.14979833173333	0.0375817344	149.5060709376	1.2235522048	3.60808093013333	0.225695402666667	0.0309573610666667	29.7705996288	0.00121807666666667	0.1085860096	0.1746576384	0.0960364288	0.0835105706666667	0.871198856533333	0.377858696533333	13.8529614506667	0.421152290133333	0.923436373333333	0.3164184576	5.2235452416	0.4081338368	9.72065778346667	10.4434313898667	6.81796348586667	0.337210709333333	0.576322696533333	1.4606618624	0.000861833933333333	0.00138241306666667	11.5179771221333	8.442970112	0.000680608066666667	1.22970098346667	0.723704490666667	2.94989632853333	82.0654462293333	1.70191721813333	0.162860117333333	1.32563053226667	5.77369920853333	-0.0081704304	0.284805034666667	434.126104110933	337.9166143984	276.771354779733
HR	0.500859392	0.00467112853333333	13.4111832746667	0.0142121696	8.96875287893333	1.52663381333333	1.3917093888	0.485638690133333	1.17216515413333	0.00123592213333333	7.01889194666667	16.8273980074667	0.403779584	0.0165580352	14.5869657429333	0.0690745002666667	15.7461807104	3.47603244373333	0.00632293333333333	2.74791082666667	20.2214364501333	12.6375176874667	0.1754298368	0.016700416	78.3217415509333	0.00110651846666667	0.0409783424	0.1000397056	0.1253939456	0.0310996885333333	0.0447502250666667	0.310163456	0.4892316672	0.109868253866667	1.93260120746667	0.206024977066667	11.2194322432	0.530921335466667	2.49862662826667	6.83951281493333	2.1690130432	0.199913301333333	5.0497650688	3.40248849066667	0.00101571746666667	0.00615354933333333	0.441221700266667	2.321088512	0.0038584192	1.02950242986667	0.7858302976	0.0873283157333333	33.0970628096	2.87457989973333	0.0131497877333333	0.348913732266667	1.53780538026667	-0.0266316266666667	0.193782801066667	277.764595122867	237.823271295667	193.558393140267
HU	0.664744618666667	0.0084241824	25.1330822144	0.0277721216	9.58114911573333	3.47545217706667	6.75646723413333	1.55791496533333	2.31932941653333	0.00606197813333333	18.0826821973333	37.5080659626667	0.722135790933333	0.0724069546666667	9.11860640426667	0.263387989333333	18.1904353962667	5.8480033792	0.0168073333333333	6.3289966592	14.2730614101333	61.3470481066667	0.2984681472	0.0352523712	61.270523904	0.00332160586666667	0.112951825066667	0.504541354666667	0.3806798848	0.130425506133333	0.276245640533333	0.518710272	1.95579835733333	0.0541689045333333	3.19592393386667	0.437215300266667	42.9655588864	0.415109632	14.7603925674667	19.9575055018667	5.75651785386667	0.4648132608	7.86000991573333	20.2811572224	0.0031279808	0.00800310613333333	1.05417434453333	9.94605684053333	0.008720712	1.3672009728	1.7110577152	0.3960184832	15.7344049834667	4.77793430186667	0.0227260906666667	0.165902114133333	2.09362848426667	-0.0423779797333333	0.1124806144	440.296386220267	413.95741044	345.434605564267
IE	0.00116979653333333	0.00217999986666667	0.235733845333333	0.00985895786666667	0.00687021226666667	2.5717768192	0.00376339546666667	0.0299529578666667	0.172691268266667	0.0004077108	0.7750232064	6.38937934506667	0.707541947733333	0.0263901824	1.97666146986667	0.152878592	9.18978013866667	32.2568563370667	0.00302369173333333	0.00683142506666667	0.0221594346666667	0.0412058453333333	19.5117580288	0.1608375296	0.931592055466667	0.0004371779	-0.0006211838	0.0351838933333333	0.0919747242666667	0.0248565098666667	0.00292221093333333	0.000771674533333333	0.0008231688	6.51339333333333e-05	3.4164457472	0.592748202666667	0.889413700266667	0.5336026112	0.0217630442666667	0.009484448	0.554473096533333	0.2769647616	0.0405224832	0.0319794197333333	0.0003229579	0.0026029848	0.0396341504	0.0615024938666667	0.0009706074	14.9313672533333	1.31056093866667	0.0028597832	0.230572270933333	10.733551616	0.00806631306666667	0.00119091986666667	7.36928617813333	0.0782198016	0.00875528426666667	116.4895985712	81.8151682121333	80.1403523735333
IS	0.00024629095	0.000381610533333333	0.1168982784	0.0008828622	-0.00378106053333333	0.693577250133333	-0.000140694216666667	0.0213929706666667	0.0760266496	0.000123521941666667	0.1437915136	2.214899712	0.466727048533333	0.00352292053333333	0.505075643733333	0.0695580928	1.657124864	8.23513852586667	0.000292687266666667	0.0018941364	0.0103290816	0.0369245994666667	0.4217170944	5.81478427306667	0.604536832	9.460405e-05	0.00528391733333333	0.0210353664	0.033374752	0.0136039626666667	0.0014077344	-3.81975125e-05	2.42852520833333e-05	8.32614916666667e-05	0.868274039466667	0.653007325866667	0.324494165333333	0.0514712746666667	0.00286961893333333	-0.00116997253333333	0.261769096533333	0.250117307733333	0.0338991189333333	0.0311332736	7.7325975e-05	6.40810875e-05	0.0186785941333333	0.0441482837333333	0.000630938733333333	2.75661673813333	0.642710186666667	0.00185637146666667	0.122345275733333	2.79417460053333	0.0010786234	0.00232097466666667	8.0692871168	0.0127362944	-0.0004025464	38.1089824986188	23.7062588632188	16.8017254808167
IT	0.873185348266667	0.0151230144	31.1881673386667	0.0309263296	7.21033898666667	4.5718331392	1.32330605226667	0.687655048533333	11.4944507904	0.00830034506666667	7.64144626346667	36.1898726741333	0.797133073066667	0.0258879573333333	113.3094371328	0.2320536576	136.7652696064	13.7194231125333	0.0214131669333333	5.7008095232	15.3914824021333	8.74849621333333	0.930146167466667	0.0988763221333333	908.3428012032	0.00131236466666667	0.0258545706666667	0.171111133866667	0.459295266133333	0.0912316330666667	0.0987740928	0.4726240256	0.910865339733333	1.456965632	4.23563782826667	0.683715447466667	10.9183500288	4.29040052906667	2.70995647146667	4.8077651968	3.40487727786667	0.496973892266667	16.218619904	3.17124143786667	0.00125309186666667	0.00619844533333333	0.6999934976	2.52856620373333	0.0016080132	7.21171851946667	1.3996474368	0.0904757845333333	236.140765730133	8.25060829866667	0.0252596736	2.75755608746667	24.9322842794667	0.0105016565333333	1.05534190933333	1645.05518556893	1363.18102619293	1313.71416721653
KG	0.0079489184	0.315969399466667	0.132804181333333	0.9456001024	0.0104942176	0.0537671381333333	0.0391095424	0.0965701973333333	0.0671755050666667	0.0251104576	0.0845494101333333	0.4636076032	0.0359751253333333	0.00550766826666667	0.4605776896	0.0372372010666667	0.4765705216	0.351584085333333	0.135657796266667	0.139170491733333	0.0322250197333333	0.0602498261333333	0.0244440789333333	0.0046190864	0.781178811733333	57.7555398656	39.8114073258667	0.0291508629333333	0.00544374506666667	0.0152298453333333	0.0142523936	0.00451609173333333	0.0102223808	0.00192997106666667	0.0793202773333333	0.0503667797333333	0.222775586133333	0.0362781056	0.0802558890666667	0.026780832	5.31694004906667	0.0457235541333333	0.0262777514666667	0.0362763178666667	15.6060188672	1.07898852693333	4.08726787413333	0.350302276266667	84.9922839893333	0.143379319466667	0.0703700778666667	0.0485628629333333	0.368127522133333	0.151990562133333	13.5469192533333	0.0353919146666667	14.3892370773333	-0.004446972	0.268053179733333	243.488838031067	214.471253233467	3.75010573853333
