	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
CZ	0.1681285632	0.0017779912	44.1869314730667	0.00529153546666667	0.6503059456	3.25250717013333	0.803768183466667	3.14468870826667	7.14307065173333	-8.3598125e-05	175.359848174933	137.700581922133	2.26843101866667	0.0723682133333333	2.7968741376	0.0800244138666667	19.7917103445333	3.94120779093333	0.00546721706666667	0.319165166933333	5.56203595093333	12.3528762709333	0.671943338666667	0.0013337316	19.1431879338667	-4.61799125e-05	0.267844369066667	0.504703863466667	0.449330756266667	0.169967018666667	0.0807508138666667	0.0836533504	0.112119210666667	0.00255145786666667	5.63955739306667	0.133234670933333	33.3775743658667	0.119087172266667	2.7685814272	2.843697152	1.238573056	0.5971228672	4.81384093013333	11.909988352	1.75206333333333e-05	0.000955085933333333	0.076009472	1.54327231146667	0.000570150666666667	0.1405131008	-0.0488146858666667	0.0125122133333333	0.469583086933333	-0.0863932586666667	0.00287398506666667	0.267681911466667	2.55067067733333	0.0671501781333333	-0.000246200066666667	509.531929846196	506.156398837729	483.093647558942
DE	0.0923442602666667	-0.0022156408	43.3362086570667	-0.0136004074666667	0.65424384	88.4666968746667	0.330003933866667	5.25159519573333	89.6470089728	-0.000565339	35.8417257813333	2390.4789725184	20.9764854442667	0.256385911466667	20.8295122261333	0.320062941866667	285.327753216	66.1294809088	-0.0151739904	0.350903876266667	1.74367320746667	4.81330899626667	11.8893969408	0.0040971048	34.3664295936	-0.0018668632	0.995847304533333	2.1317681152	13.731364864	1.16464831146667	0.029177984	0.0529069397333333	0.1064744192	0.0069353792	239.1126573056	0.6948554752	55.3550304597333	0.972711662933333	1.25886696106667	1.47169389226667	2.188038144	2.9669605376	1.77322448213333	2.71157766826667	-0.00215310346666667	0.000713061533333333	-0.0084873984	2.02237774506667	-0.00112199773333333	0.405879842133333	-2.18326766933333	0.0114415296	1.13316788906667	-8.06404805973333	-0.0103074026666667	1.2764942336	12.1546375168	0.1478416896	0.0211329109333333	3434.70190885413	3429.80893637413	3324.898508229
DK	0.0103636746666667	0.0005734108	0.695146837333333	0.00234166026666667	0.0997703338666667	4.3607441408	0.0847872	0.614875477333333	0.550170624	6.2894775e-05	1.0598518784	55.1070771882667	154.285288106667	0.0538911189333333	0.9450698752	0.143022267733333	14.2568183125333	12.8582265514667	0.0010485712	0.0373266474666667	0.192120405333333	0.492531643733333	2.17164526933333	0.000557297933333333	0.9825335296	-3.54893375e-05	0.167600162133333	0.316013943466667	0.1375422976	0.196633019733333	0.0267924245333333	0.00983466986666667	0.0195208405333333	0.0016346232	13.3431853056	0.612214306133333	5.33015046826667	0.0384363946666667	0.538034141866667	0.309086754133333	0.314393258666667	3.20733948586667	0.0916064085333333	0.279823069866667	-3.93767166666667e-05	0.00104721513333333	0.0292009194666667	0.477323741866667	0.0004128744	0.144896682666667	-1.00207889066667	0.00446457573333333	0.0675474730666667	-1.65554271573333	0.0018763396	0.04203072	1.81562518186667	-0.100792081066667	-0.00527971306666667	273.766343949521	274.453596377121	271.014422620908
EE	0.0544847146666667	0.00164176653333333	0.710884693333333	0.00456939306666667	0.200781499733333	1.20032351573333	0.5091462144	5.51989630293333	0.445184989866667	0.000523145933333333	1.5887347712	13.7040756736	2.6780352512	29.0584876373333	0.539145796266667	2.95870928213333	3.85293789866667	2.84227065173333	0.00389760773333333	0.139883502933333	0.255132893866667	0.7330848768	0.453834001066667	0.00697972213333333	1.19593751893333	0.000250140133333333	0.7321307136	3.64324481706667	0.0854112938666667	6.93004806826667	0.267358907733333	0.0258822677333333	0.0747712853333333	0.000321048366666667	2.5613000704	0.657611025066667	12.9076887552	0.03121072	1.9966943232	0.508184234666667	6.18032114346667	4.52392331946667	0.171440196266667	0.3937334272	0.0004688212	0.00449181546666667	0.0632343509333333	2.6662469632	0.00644827946666667	0.157263906133333	-0.1585133056	0.0227949674666667	0.0986846378666667	0.517039889066667	0.00917792746666667	0.038733312	1.919791104	0.0400509866666667	0.0148326357333333	115.7508553699	113.0909993091	95.4110304705667
ES	0.0324337322666667	0.0051178192	0.520821794133333	0.0173042762666667	0.123561386666667	0.822154308266667	0.00405683173333333	0.174808644266667	1.2458893312	5.6484578125e-06	0.352280029866667	4.3609473024	0.1823309312	0.0281641237333333	1454.60070536533	0.0161422186666667	75.1150126421333	4.0648392704	0.00526941973333333	0.0147598666666667	0.3110832128	0.275507899733333	1.5360344064	0.0035615224	10.8708615509333	-1.75281833333333e-05	0.0699770026666667	0.0310746773333333	0.0681119274666667	0.00691215573333333	0.00730468586666667	0.0123983936	0.00377895786666667	0.0523404842666667	0.816178312533333	-0.0062861712	1.201106944	60.1966116864	0.141805175466667	0.0914663253333333	0.190870510933333	0.0494038357333333	0.294941661866667	0.1361095168	0.000122079908333333	0.00172324866666667	0.0950926933333333	0.140282973866667	0.000612431533333333	-3.28229874346667	0.0964313770666667	-0.000353621166666667	-5.83709600426667	0.3587801088	0.0179914346666667	7.70167657813333	24.1889378304	-0.3649061888	-0.449597781333333	1640.71514050668	1618.28557551665	1615.75922056766
FI	0.164045346133333	0.00650120693333333	1.79247076693333	0.0300420010666667	0.816490973866667	3.25089006933333	1.44259085653333	10.3347508565333	1.08962351786667	6.35355458333333e-05	3.41848500906667	30.4047587328	7.15006061226667	5.12869061973333	0.794462890666667	161.0970300416	12.0643059712	8.20714263893333	0.0163405738666667	0.4383418368	0.679661704533333	1.96826630826667	1.2583100416	0.0211300778666667	3.17098857813333	0.000434981966666667	3.69646196053333	4.2119979008	0.1885086208	3.59737644373333	0.591966071466667	0.0639114112	0.241001847466667	0.0015967316	5.2202635264	3.943202816	25.3463276202667	0.0407676885333333	4.447178752	1.66872610133333	18.5812560554667	18.6750096725333	0.393041681066667	1.080624128	0.000209626016666667	0.0167333930666667	0.275670101333333	8.88828777813333	0.0250422250666667	0.3665314816	0.543965934933333	0.0694332544	0.1997336064	2.00028269226667	0.0379526528	0.0876239530666667	7.92153511253333	0.0457081813333333	0.106210645333333	367.320019417529	355.941041902863	304.789551275146
FR	0.0986012501333333	0.00174279306666667	6.06137985706667	-0.0007512278	0.7345987584	42.161471488	0.0831908266666667	1.00074359466667	44.8846670506667	-0.000282872833333333	2.9302177792	89.1580230314667	1.19281431893333	0.0398279253333333	312.594416708267	0.034208288	3477.57406235307	66.0747583488	-0.00398689333333333	0.268615714133333	1.13693375146667	1.22480776533333	15.3990201344	0.0244633856	79.8495954261333	-0.000226384	0.279952213333333	0.278439287466667	3.34273467733333	0.0738932821333333	0.0054631584	0.0347128768	0.036985984	0.118688034133333	18.1346162005333	-0.0250540949333333	8.01499436373333	10.6630993237333	0.45872128	0.4761465856	0.259027780266667	0.295788270933333	1.25370722986667	0.585816746666667	-0.000417736233333333	-0.00465962293333333	0.0573774293333333	0.52945664	-0.00272165813333333	-4.174159872	-0.0837049258666667	-2.48595895833333e-05	2.9798629376	-6.8536991744	-0.00014953355	7.758225408	29.9808456704	-0.711721096533333	-0.289311744	4215.99584423293	4187.38968142287	4137.8666257885
GB	0.00227228933333333	-0.000751655466666667	1.01801888426667	-0.00260523626666667	0.0671798186666667	14.0116120917333	0.00921682773333333	0.389504955733333	0.906314820266667	-0.000763706	1.4611001344	50.6710851584	4.7816556544	0.1853008896	6.99019209386667	0.187940608	92.5165944832	914.187633732267	-0.00227755653333333	0.003539248	0.0999776341333333	0.18320512	94.5611167061333	0.0118371776	3.062136832	-0.000938923666666667	0.333242129066667	0.3385551872	0.432282385066667	0.203267242666667	0.00202916813333333	0.0007480584	0.0040971832	-2.50586833333333e-05	27.2441846442667	0.357449181866667	6.2396284928	0.9279604736	0.0287770624	0.0457371904	0.571995613866667	0.8678658048	0.125352226133333	0.143465693866667	-0.000988539466666667	0.00281728266666667	-0.0152205685333333	0.160326519466667	-0.000209860683333333	-2.0342439936	0.111623953066667	-0.00143430306666667	0.122126327466667	-2.64111199573333	-0.00475557546666667	0.0350628224	14.0515606528	-0.813112183466667	-0.0197502506666667	1232.11940104803	1223.3134355943	1220.38089891212
GE	0.0933283498666667	15.7873493333333	0.055505088	50.2036824064	0.0384394837333333	0.0159307765333333	0.341826594133333	0.266107682133333	0.0241355264	0.194706568533333	0.0458151210666667	0.182949358933333	0.0182921258666667	0.0118398666666667	0.287060445866667	0.021052064	0.1170914304	0.0390746282666667	107.836639368533	0.545808315733333	0.0369850624	0.0960493568	0.00746464266666667	0.000717826933333333	0.696639556266667	0.00293333546666667	4.059815936	0.0230558442666667	0.0003474505	0.008895504	0.109128618666667	0.0127173098666667	0.039069824	0.0069762896	0.0246919253333333	0.00351973173333333	0.485931485866667	0.0181171157333333	0.7310514176	0.164276053333333	20.5468904106667	0.012503168	0.0152555146666667	0.0440415829333333	0.0017026732	0.766418670933333	75.643355136	1.73295179093333	0.244471159466667	0.0121298101333333	0.0174647776	0.0254534144	0.3385010176	0.0138134101333333	12.2347367082667	1.461133312	3.23150779733333	0.0290145386666667	-0.059956864	298.966406850366	281.662608928233	4.04797323823333
GL	0.000160062916666667	0.000546452233333333	0.0096472512	0.00107255353333333	0.00182996373333333	0.1033225728	0.0019415832	0.03358	0.0184196458666667	1.36688114583333e-05	0.0261309696	0.879865514666667	0.113074798933333	0.00357778933333333	0.0949433344	0.0328473066666667	0.2767862784	0.4655188992	0.0008515392	0.000772282733333333	0.0027870864	0.00464705973333333	0.153302920533333	0.1495724544	0.0502791765333333	0.000100571891666667	0.0246308074666667	0.0131832266666667	0.00797345866666667	0.00677642986666667	0.0004687686	0.000106622116666667	0.000171328683333333	5.879821875e-06	0.180518877866667	0.214836906666667	0.147569885866667	0.0127027221333333	0.0051894992	0.00213363506666667	0.0986814122666667	0.2937853952	0.0021008144	0.00250353973333333	3.618755e-05	0.000127679908333333	0.00662741866666667	0.0169302154666667	0.0002572078	0.0290523349333333	0.0278391296	5.8649375e-05	0.00304153893333333	0.0586035797333333	0.0027456304	0.00406681973333333	20.1032641194667	0.0209872234666667	0.00912864533333333	23.721697327575	3.4629096566	2.88898113616667
