	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	EXC	EU
CZ	0.0387450512478328	0.00299108576540797	9.2241974874068	0.0131628715428901	0.672801637913541	0.982173960627163	0.189094388503051	0.418742040769906	1.65083505877218	7.24898539455774e-05	45.6612952893575	28.7199286191195	0.861919838649182	0.0229545223974367	0.698063423810611	0.0622967041983122	5.33652676439969	1.32544292880161	0.0185269561202444	0.0614683879988009	2.16018281103407	6.3048024737074	0.253823967212226	0.00413097289822735	2.93453488576521	1.48515157090222e-05	0.00428342962808851	0.186589057880294	0.171542923230944	0.0541517486159521	0.0856851304983704	0.0238496048995271	0.0372335759462424	0.000640585480604745	1.77564546580371	0.111393681120141	11.2859485948091	0.0316292160497826	1.68427099492155	2.66420842025692	0.918373380915032	0.320371518139435	1.52995458040342	3.92182110867056	8.54621357548395e-06	0.00578331022113052	0.24337897456316	1.11916654364466	0.0105180051145424	0	0	0	0	0	0.0084570884781142	0.131732591231226	0	0	0	133.805177631852	124.435902656064
DE	0.00761840251229177	0.00184595092452865	4.30244955386592	0.00701330393356681	0.0525337692008207	4.46736447863819	0.0290322693242477	0.195475447820872	3.1343732443474	3.21180849016495e-05	3.71591665939232	72.8434196278497	1.27122403245799	0.0170634839039531	0.992308716019053	0.0601316044264969	12.149603727726	4.23880883663906	0.0110682239083142	0.0131046100571047	0.180428668292819	0.555040936623809	0.657909233797212	0.00896054692558037	1.25601771376251	2.83534184047365e-05	0.00273079079927501	0.111543074335841	0.480432141280451	0.0356020854386423	0.0320688749262757	0.00315666234469444	0.00614771500914422	0.00039786668185141	9.4867021478168	0.16436547989668	4.44958988667611	0.0490183131618484	0.285782085460493	0.213175210317298	0.5538885840081	0.399453421559994	0.174434638859467	0.260734935502613	1.57770660871398e-05	0.00137532391032429	0.114574400521089	0.508723043345747	0.00427165778070129	0	0	0	0	0	0.00522368066674779	0.113769370837574	0	0	0	127.506956802419	118.244738319377
DK	0.0103456716468856	0.00238497358597683	0.469393863558383	0.0125931221965482	0.0461199467414117	2.08089975965809	0.0447292815598605	0.335883779471736	0.262868956856072	6.7136730007544e-05	1.23695998479547	28.1680374090962	30.5460276098179	0.038738506423483	0.50213235822167	0.134935875975955	5.16927157688061	6.59411734587647	0.0113951807480563	0.0240977934943465	0.115347293027083	0.477398643690948	0.910516438369229	0.0280225342068627	0.178106898864743	0.000157860569261267	0.0106043380773375	0.179738600359811	0.108718446909652	0.0609015625523847	0.0319147920980721	0.00382788052866403	0.0112222138120117	0.000162704209277355	6.58393594293945	0.974083633380271	5.83158852414192	0.0297005716934411	0.227499388391737	0.232573183454344	0.774746297982071	1.60884907541338	0.06681122684707	0.246888510699605	8.58853531307165e-05	0.00694255889323583	0.180445781546332	0.506302693682195	0.011098386207932	0	0	0	0	0	0.0234470238090309	0.0439384983006978	0	0	0	95.0891920133845	85.0414549557632
EE	0.00684564104861012	0.00752998472978665	0.154116840061061	0.0382609516224971	0.0340524343551344	0.251565851033184	0.0495261774908105	3.16232060245169	0.0714561423735607	0.000271394151876107	0.51991348306675	3.30142385462828	1.00918174243215	4.77246655730394	0.108672543011971	1.14927799809437	0.762446979909692	0.833522581985925	0.0311610165214604	0.0229149382125772	0.0681235831867363	0.301611025361252	0.158711271381425	0.00847843623890685	0.152052647503593	0.0017770978312747	0.155944502127968	2.12518326072826	0.0195059940982222	2.27658297701814	0.0987948629888332	0.00254414994961382	0.00536707309004155	0.00010280988172733	0.552739869376601	0.287020967530607	5.91369644564284	0.00856976059754623	0.438654843723593	0.170469736951043	5.68927256124268	1.32969955121698	0.043670901342539	0.19782504798787	0.00123120762967523	0.0218245814496935	0.586990903548901	1.86188517118357	0.0965372701716224	0	0	0	0	0	0.149487841985809	0.0158224315537411	0	0	0	38.8617963654803	25.6885083228329
EEZ100	4.82671021572736e-05	2.50632677526666e-05	0.00251578676540256	0.000668625429815032	0.000381519938694044	0.0761783653967343	0.000311919732869642	0.0182645019549685	0.0034656449238414	4.78197452956856e-06	0.00780587121811065	0.559510244814709	0.543073609825309	0.0154269684949422	0.0600054066104002	0.0228497130847083	0.322761282383203	2.12430583719653	0.00014880194552651	8.74067458111454e-05	0.000793504355693446	0.00263552304446914	0.534680839766572	0.111602542560016	0.0113872368179053	2.60414491039142e-06	0.0022013337566207	0.0273053198363956	0.00398410328267065	0.0228871265473331	0.000292677377234343	2.25953086009673e-05	3.90883394428903e-05	1.75968492933461e-06	0.23624835743273	0.261973706131635	0.074123739133544	0.0148250989391588	0.00338378508072561	0.00126905284723055	0.121160345804822	0.251316671833186	0.00073244097140258	0.00148517653888731	1.73300058241273e-06	0.000509144400914029	0.00195717899093631	0.00990420305936025	0.0015122797038445	0	0	0	0	0	0.000162428557642145	0.00287210850438187	0	0	0	5.45607869582269	2.79632200706947
EEZ1065	0.000121390337083103	0.000232257317674905	0.00443566627410555	0.00177226002062396	0.000374711950365296	0.0736582419577528	0.000482837068239026	0.030222153207111	0.00686740098287152	3.85788538523418e-06	0.0135729592910886	0.398259819947399	0.389078901244199	0.0117470037549226	0.0369699375149627	0.0179223022058601	0.290317164553668	1.37165765988692	0.000802255523238685	0.000255039099137521	0.000807812259497349	0.00280883654398939	0.286403864269551	0.165222743446764	0.0092781552449446	2.91464099351147e-05	0.00631908815116957	0.0241901789409874	0.00449436803712598	0.0179850694044554	0.00107148449096416	3.80364142653641e-05	0.000116971315031863	1.66430648909843e-06	0.143562474694923	0.24321592891969	0.0749395969111909	0.00619085085495715	0.00401053345500477	0.00160515436945509	0.137698859097676	0.132986688717344	0.000889273228252767	0.00210891244132529	1.69225514327829e-05	0.00127146231736857	0.00836359592008599	0.0275220634459797	0.00388093976253931	0	0	0	0	0	0.00285266185585372	0.00358677753889844	0	0	0	3.95578449197497	1.94736200896265
EEZ1071	7.67944835104665e-05	0.000164870364134281	0.000929510753757068	0.000920335325945263	0.000307234102634106	0.0260977455053086	0.000306991096259257	0.0112646001628874	0.00197456392663724	1.10733965624958e-06	0.00280537889044432	0.12100190027704	0.0990487540579418	0.00221479247825008	0.0122513105702422	0.00701750112052258	0.134428224388119	0.457317822000853	0.000505881013932623	0.00012034417998945	0.000493569664709609	0.00108027306134912	0.14997780617402	0.723679147598868	0.00626197307084195	2.24959857053775e-05	0.00546909393337111	0.00616723229503377	0.00132820490406634	0.00337176096516666	0.000565326026164095	3.17642058615395e-05	5.10237022775926e-05	4.55770661010844e-06	0.0456059238555521	0.0536789912188585	0.0208888961084031	0.00132602020119804	0.00247502084660899	0.00115147796123345	0.0764838809889612	0.029545492204421	0.000332624563838197	0.000666449306397842	1.3113929399165e-05	0.000572552506243368	0.00508039476294439	0.0133618620441834	0.00222702809347104	0	0	0	0	0	0.00211817728628049	0.0018646036503912	0	0	0	2.03066962300973	0.675749366202577
EEZ108	0.00132427861954563	9.67759892133407e-06	0.0287489393525566	6.01171218206272e-05	0.00594824548899052	0.550496799705172	0.00319467748550618	0.0221521310577091	0.0633330798055943	2.58098500110707e-06	0.0954912615588036	2.23461791145283	0.151123292707897	0.00371665061579171	0.47151018475739	0.0198930077242463	3.79104583066164	5.69427454734694	5.34096061944388e-05	0.00138719272732267	0.0112484771608874	0.0175860103196259	4.40398282668141	0.027712825800402	0.219544116110795	7.93228752361624e-07	0.000206368288642423	0.0225271027313318	0.030995373195548	0.00646566196032193	0.00132824690499777	0.000397796502344753	0.00025688484166517	0.000152998016374758	0.91701909102639	0.0514097248047751	0.496878203287871	0.0680817914694384	0.0255847425971116	0.0111252108675958	0.0432493603907949	0.0783271204450929	0.0087600539459925	0.0114769632873364	6.00889534457855e-07	2.80931732314773e-05	0.0019996753005908	0.0246212822707782	9.48871670305852e-05	0	0	0	0	0	4.36211827689492e-05	0.0309889014832504	0	0	0	19.6194455464391	13.6698588634492
EEZ109	0.00192158250879479	0.00020806900730719	0.208301877642796	0.000826133214811063	0.0187168131116189	6.91080188545495	0.0156731995270823	0.11148940122823	0.364726353504994	2.06921962712613e-05	0.68862789479709	10.5456720853083	0.355358270454713	0.0146689564853768	1.41043843645893	0.0505122668523142	28.2554036344749	13.5492471583847	0.00149653327915767	0.00280109271693425	0.0418469771220268	0.118690150146448	2.47113685116844	0.0116538909932462	0.906128535193176	8.97994651689617e-07	0.000215977532966478	0.057846013853677	0.232406539276938	0.0172436950390138	0.0169885999581795	0.000756798769286325	0.000921875524691052	0.000196040560013165	6.75088093667837	0.0732000072148511	1.62957808470914	0.13638820561057	0.198071784269933	0.0514043489557107	0.253948729793222	0.144361053809285	0.037557896246979	0.107531372906526	7.27184889539069e-07	0.000111296515114633	0.0217041119592873	0.279861219821993	0.00034317272435856	0	0	0	0	0	0.00034902385609614	0.0810943144944725	0	0	0	76.0678854670213	61.3081437421639
EEZ110	0.00244972988870311	0.00042611644681976	0.231842597685683	0.00166875465326177	0.0186777553799125	4.58025561863208	0.0160454548902918	0.084860057949404	0.346181679500346	2.25439369400315e-05	0.628639515448357	8.57463657844409	0.290842267236499	0.0120396579975072	2.26360592277079	0.0426035559330851	36.6884676897151	8.810941524539	0.00310736594842017	0.00336991945133538	0.0407260712717204	0.122276493962069	2.10612309450694	0.00844621954433728	0.864682564953929	7.01124685945372e-07	0.000257893910719191	0.0426673374173661	0.222364664135188	0.013580061225733	0.0177868560722765	0.000935571741176883	0.00117633486226198	0.000222344261787321	4.6936804965714	0.0566489239435423	1.36183286115546	0.167806549418294	0.195924600260957	0.0499136074866781	0.254845589723115	0.122979485755058	0.0356368640516607	0.117870181054022	5.67969666495737e-07	0.00019825696688046	0.0353612984755255	0.262860109495091	0.000610919262025891	0	0	0	0	0	0.00050365809847213	0.097038047583559	0	0	0	73.3980990344264	63.4407443560635
