,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC
EEZ65,0.648454094890084,0.054488933352453,3.30189582853463,0.036089118395907,0.308336205804428,0.363179129278264,1.30548563502044,16.1716276718102,2.99213183873036,0.131944006106121,2.9869780882081,0.734264250418994,8.65089669154412,46.2815219846973,0.056542938111208,0.059420040032291,0.25659991823019,6.50693253586699,1.25709048358664,1.0808992085297,0.239696647945844,0.252001389190509,0.143817311485679,0.04107339769451,6.03407879493216,6.11355980954933,4.75470128896472,0.489618034483689,0.13453521134081,0.098512411919111,2.79803814783759,1.69480295210143,0.072397729607017,0.208774490207038,0.088421587556874,0.462095848505575,20.8037540830543,5.48288301576039,0.027357135145466,0.674412859652762,0.534672280542759,320.103481228462,nan
EEZ71,1.01092356366928,0.166570301868149,5.53999528834911,0.07698065968072,0.40744149925419,0.62281280128029,1.78712872805202,26.6441980017516,4.26742542205102,0.194073375038404,6.1276960330067,1.48811587378334,15.1357504746387,69.0870428104813,0.096698359028307,0.112067388197302,0.461319118999465,10.9804195382415,14.1194401203565,1.79778301502394,0.37113274474285,0.46400473077076,0.260019610059344,0.078025607880204,9.78599260760814,8.53158781540314,6.78277710801258,1.067029541377,0.184040742260014,0.18593268798439,5.82265870967249,3.00986996201945,0.129327512946707,0.327353460960255,0.164945322537854,0.764648640121341,49.8988714603277,8.93756755438152,0.056548100786475,1.53947480312453,1.57266787853723,451.407328307744,nan
EEZ91,0.354939450977317,0.072643591799847,1.78914454140157,0.031589113086961,0.064812127458036,0.285743533492897,0.365595537394632,5.7677122307135,0.361492635117624,0.027177304819024,43.9197594975813,0.116621738119836,12.0039353721278,9.18931750931187,0.063926437497781,0.064235232880822,0.088844270028225,1.69865318060325,0.142797969115736,1.1862204687278,0.037050500919186,0.186961687858419,0.029854348983488,0.043618369291087,2.24560982855852,0.442786707333669,0.577682976506018,34.3036763665956,0.062268097050811,0.064351596953927,0.412716671573802,0.22909163641919,0.047417010256618,0.076112170778749,0.062176038142915,0.112742729506726,144.453670310124,0.814600907487744,0.016512118369426,14.7370297812168,8.6985978955989,82.1995023694548,nan
EEZ99,0.014751977202841,0.001525219696016,0.087108218019895,0.001405628102142,0.002887129362134,0.013045968946066,0.023443958450684,0.285518930819079,0.02009783584435,0.000854781393003,0.937646048682379,0.005060678843217,0.695207645821576,0.569280482183445,0.001356381672002,0.002522645296317,0.005680754965921,0.079434682238109,0.003929318327192,0.041126011543581,0.002073540446416,0.008608481041475,0.001542712837446,0.001784693735489,0.114160778582492,0.015457258418625,0.043538996805554,0.181063873336414,0.004216924585701,0.001813629255731,0.011737029787367,0.011780898126641,0.002200604626355,0.004708018421036,0.001946817085352,0.006665376104172,1.48684787242875,0.040256946959162,0.000476803063971,0.086864670534637,0.066648972625684,5.12105579608961,nan
EEZ100,0.028367818762295,0.001518070431545,0.114870411041572,0.00121989644865,0.007945598132755,0.013137411520599,0.056858530273534,0.639017441965449,0.088944464869347,0.003127098744762,0.124298229339995,0.017140534100697,0.330478121070577,2.01328076868498,0.002388928065216,0.002852224687408,0.012075938093892,0.371427018382261,0.030800981662976,0.042433097471881,0.006457756107385,0.00862977929257,0.004144928102369,0.001829108727459,0.223939495236695,0.150308169027546,0.161971956308572,0.019534488558045,0.009997164606034,0.004611956791576,0.067468690639889,0.04568914488024,0.003743542814988,0.008110315598524,0.003280743103051,0.016576725452505,0.946794889309942,0.164542978226772,0.001031027940451,0.030258951809491,0.027859441748036,10.5648079007338,nan
EEZ108,0.907019068899547,0.141813437016698,7.44874594416662,0.08954010909935,0.236677053882642,0.892822500052783,1.42283217995563,24.3459988981747,2.2479086148209,0.109922059649023,15.3197921547528,0.542255036952904,34.5163305213158,90.220371976295,0.141310945715509,0.18287888547329,0.364158289894666,29.58602022461,0.964376401309644,2.70869504795816,0.220720334501491,0.600245435131058,0.148357856532163,0.112785661159731,11.1313856632374,2.85053106265463,3.47158833231401,3.37295239510451,0.228063361228323,0.153779357028847,2.08547982961323,1.29005547929076,0.17843170435473,0.235943503658987,0.169524390404068,0.389599511143924,93.458640632089,4.46414371550881,0.074958024140081,3.98443842683019,2.76228640882462,494.96120032081,nan
EEZ109,0.05119108942328,0.007201158600164,0.475406177222209,0.006244264310449,0.031781314437715,0.042646815799103,0.096916332242076,1.63031004403785,0.091381608249887,0.007975030076283,1.10335880355872,0.028154547739983,2.22166404626895,3.60228814337442,0.010568519067792,0.008168620618199,0.021981356989492,0.51569621440558,0.018902156292269,0.124807905758535,0.024570951471405,0.03556556057661,0.013883558764554,0.004680670190208,0.578873666303536,0.111375461158609,0.381641111725528,0.17150516805097,0.022510874580928,0.010527598490618,0.230870977157463,0.066943972096301,0.00698357632403,0.013629062789594,0.015892433106143,0.047473074750476,3.43554403941529,0.207813953769302,0.005924456363697,0.173546323024805,0.112725137247402,49.9101928385835,nan
EEZ110,0.014822090379807,0.002235270091104,0.130443002663579,0.002366996513372,0.008510532508444,0.010577548152724,0.031437761192158,0.436830759317813,0.024950335041573,0.002226842854289,0.40616036093096,0.00664403645617,0.804251580514395,1.14820835515976,0.003834006805064,0.002388190671288,0.006731496105468,0.178170367861864,0.006138331405566,0.038905119189916,0.006439424098665,0.010175254604905,0.003502161461574,0.001818511482498,0.161073809752942,0.029930819232775,0.10419263559193,0.061770716064623,0.006226571626271,0.003817658892051,0.05485811554576,0.01629526027633,0.002248876881771,0.004480179674672,0.00482998530538,0.013951240763437,1.20452491632247,0.060244413953772,0.001411798977547,0.071555264432875,0.043564735674116,15.9623436078822,nan
EEZ119,0.002721897343862,0.00022039044971,0.010843406580663,0.000112537945087,0.001147404394887,0.00167726736233,0.004387390541836,0.057371751054827,0.010939357896763,0.000452318262759,0.011760463555986,0.002706191092908,0.030517152903938,0.1596678179613,0.000213045366839,0.000217107054592,0.001012353940918,0.02499415857655,0.010128329544948,0.004346074583674,0.000898958609957,0.000761680175088,0.000506201309748,0.000153456250977,0.020152331711903,0.019677751799739,0.016506510086293,0.00227821120717,0.000436304188574,0.000345015203223,0.011595717465545,0.006462284718895,0.000285681121422,0.000777012249099,0.000406641901557,0.001867923242144,0.092723405779618,0.02029484610044,9.60906630044423E-05,0.002653641615544,0.001297344881702,1.08097386061165,nan
EEZ123,0.072948671360815,0.010834879967409,0.294007984407719,0.005104815463168,0.032738199299687,0.039761869319077,0.122978506676037,1.60459175345113,0.314674227967133,0.020107720814138,0.185499170871095,0.148150376411939,0.641695361646342,2.75612362819774,0.00707697184518,0.008678258797183,0.03527494881529,0.310480269311907,0.272300949543122,0.123274467535817,0.036259589762924,0.026641198152538,0.024118446298862,0.003250898565361,0.513227670946852,0.779362348118652,0.519224626826185,0.024224383295954,0.011009977933938,0.014867390072221,0.462733408695616,0.271498397461708,0.009010782600449,0.024873470779288,0.011179106674248,0.054254497253313,1.29607992460487,0.689290037403793,0.003718550801901,0.073468999953812,0.079001987182797,24.311192345788,nan
