	AL	AM	AST	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	EXC	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	NOA	BIC	DMS	VOL	SUM	EU
HR	1.16798818986667	0.00716013866666667	0.0169564288	12.244516864	0.0185415018666667	7.39863702186667	0.3851834368	0.751664469333333	0.314328576	2.59602158933333	0.000615719333333333	3.0352154624	13.0019273386667	0.1886116864	0.0118196138666667	6.10210993493333	253.185622221478	0.0230207658666667	6.18367604053333	0.573896977066667	0.0136195338666667	1.53469556053333	93.5864915285333	18.4890971477333	0.0851301205333333	0.00190910746666667	52.8382995114667	6.82702958333333e-05	0.0866139989333333	0.0946484309333333	0.0907739221333333	0.0620909738666667	0.0262904277333333	0.217606468266667	0.969245832533333	0.293048866133333	0.0286900010666667	0.698177399466667	0.0237013077333333	2.72893351253333	0.298154939733333	5.03217247573333	5.85517520213333	0.454962210133333	0.455014229333333	0.0710226218666667	11.0834931029333	3.28870161066667	-1.36321510416667e-05	0.00160510813333333	0.3069403136	1.0044012544	0.00150174546666667	0.140314282666667	-0.00821544053333333	0.0147380874666667	-0.204907997866667	0.0953870677333333	1.21968039253333	2.09592046933333	0.0987753301333333	0.0289220586666667	257.224769109478	138.8579816372
HU	1.3991153664	0.0223223296	0.0419823573333333	33.2721640789333	0.0426367061333333	2.14482056533333	0.977879995733333	1.18336047786667	1.27334591146667	5.40435305813333	0.00122263933333333	8.58468898133333	33.6594905770667	0.5096790016	0.0113794581333333	7.8464516096	486.75481404045	0.0137685664	8.99191821653333	0.881829205333333	0.0427913685333333	2.44354061653333	37.3314595498667	196.805272098133	0.196444245333333	0.0023978888	42.8729040896	-5.2627875e-05	0.213815483733333	0.227227784533333	0.274961937066667	0.1320818944	0.0616062464	0.681862075733333	0.985326660266667	0.546339908266667	0.020937728	1.77355830613333	0.0188215274666667	7.92662780586667	0.508747741866667	29.4162617685333	15.8037180416	0.6830129152	0.687161002666667	0.126852138666667	11.382276096	27.2108726954667	-0.000139635808333333	0.0017867872	0.5034293248	2.55151663786667	-0.0022044064	0.1303566592	-0.0652607018666667	0.00827004106666667	0.338303044266667	0.000951580866666667	1.548357632	3.49720357546667	0.140767095466667	-0.044812096	493.247761627183	417.086778215867
IE	0.0062277312	0.000350831966666667	0.000289386666666667	0.328475204266667	0.00197274373333333	0.0262886805333333	0.929606724266667	0.00509756373333333	0.0511964629333333	0.2663033856	0.0001145567	0.2376362496	4.28298840746667	0.297215931733333	0.00521594613333333	0.593967854933333	394.3728565997	0.00273598986666667	7.67116683946667	28.8640182954667	0.00195946666666667	0.00903169493333333	0.0476534954666667	0.0728138581333333	347.657959287467	0.0458859861333333	0.374937873066667	6.75978625e-05	0.0185952341333333	0.0220897365333333	0.0201500693333333	0.0517355818666667	0.00712628053333333	0.0101475946666667	0.0045034544	0.00262635893333333	0.000439579333333333	1.42941743786667	-0.00857502026666667	0.569451588266667	0.0698380330666667	0.049879104	0.0295923392	0.0764880981333333	0.0752202837333333	0.0644822314666667	0.0301013909333333	0.0950042624	-1.060970703125e-06	0.000127861675	0.00633499626666667	0.0611853397333333	0.0010904974	-3.09696539306667	-0.132050901333333	-0.000829372666666667	0.0220871637333333	-0.5485841408	0.0113121610666667	4.72300694186667	-5.56082571946667	0.0231349909333333	389.908515048901	393.7206078363
IS	0.00207494786666667	0.000177281266666667	0.0007513364	0.0644856405333333	0.000392631166666667	0.00981137813333333	0.148810478933333	0.00826383733333333	0.00761306026666667	0.0568246016	3.02068270833333e-05	0.0958963882666667	1.07007255893333	0.114581009066667	0.0118332341333333	0.137394525866667	16.0302852588365	0.0678013226666667	0.6623571968	1.55284834986667	0.000276895633333333	0.0056660528	0.00973371093333333	0.0221237952	0.374104337066667	10.6596291925333	0.0977933226666667	-1.73053489583333e-05	0.0018239384	0.00191103333333333	0.00955325013333333	0.009448368	0.00327918533333333	0.000739932866666667	0.0017529772	0.0023156208	0.000193220266666667	0.243132603733333	0.0862515456	0.2803969024	0.00434297386666667	0.0297096832	0.0125563072	0.0485687978666667	0.0490855338666667	0.0674481493333333	0.0040950048	0.0192440938666667	1.92875333333333e-05	0.000102478166666667	0.0057090064	0.0182954432	0.000124006725	-0.0403868928	0.0543326165333333	0.000160201933333333	0.00992964693333333	0.1073828096	0.00646481813333333	8.79938655573333	-0.2950373376	0.0385925333333333	24.7622542833031	5.10490569189375
IT	4.38740527786667	0.012785008	0.0367495296	17.0564474197333	0.0240805013333333	-2.00341981866667	1.7049976832	1.46711087786667	0.4476213248	22.1075800064	0.0106694506666667	3.2137216	31.9208117589333	0.441869243733333	0.0276099157333333	44.6008044202667	1841.16030195748	0.0541699626666667	55.4170231466667	3.3059741696	0.0170562709333333	6.8293869568	11.4526934357333	8.55016133973333	0.457651848533333	0.00971413546666667	1587.46465184427	0.00019176945	0.323572736	0.348613461333333	0.1575205888	0.183645883733333	0.0396139648	0.3133933568	1.66200101546667	0.48050432	0.30015232	2.6451361792	0.0767265621333333	3.95817506133333	2.08923593386667	7.373225984	3.80821777066667	0.934863735466667	0.937988164266667	0.163216776533333	11.5227951104	2.8191588352	-0.000201871166666667	0.00492727893333333	1.5814299648	1.71002443093333	0.00603131573333333	0.757852637866667	0.0701053269333333	0.0489723904	-14.3968152234667	0.8920213504	12.6171676672	7.17648090453333	-0.6633771008	-2.8719046656	1846.08599124602	1793.77493827627
KG	0.0138168853333333	0.297426466133333	35.6757929984	0.0366939264	0.52623872	0.0420669312	0.0140282037333333	0.0885340074666667	0.0817345792	0.0552863445333333	0.0185992704	0.0546768554666667	0.188421922133333	0.007731456	0.0195165546666667	0.180224768	275.075341845067	0.0162754421333333	0.107240874666667	0.0390207957333333	0.148411562666667	0.0853370453333333	0.0256158229333333	0.044103168	0.00489262933333333	0.0006103868	0.2251718656	76.0503074816	6.2170300416	73.2930550442667	0.0192060245333333	0.00129893746666667	0.00504796213333333	0.0165024693333333	0.0090154144	0.0140298101333333	0.0014655064	0.0135835797333333	0.0054061552	0.2476636672	0.0126899264	0.1914755072	0.0754024704	3.43566554453333	4.4610011136	0.00913738666666667	0.0092352128	0.0255433173333333	32.8184517973333	2.83074669226667	3.30980338346667	0.610862011733333	78.7227344896	0.0147004256	0.0235010261333333	0.0117152384	0.0679768192	0.0231351509333333	0.123821073066667	4.6087585792	0.0200910912	0.495678190933333	325.793208024267	1.66681581293333
KZ	0.432187016533333	8.29668119893333	32.4253013333333	0.883579016533333	20.4241917269333	0.217704942933333	0.3798216704	1.79116741973333	5.0001166336	0.54470912	0.1628476928	1.05629866666667	4.89837745493333	0.375270775466667	-0.041599168	1.48229625173333	2212.68340247227	0.329893000533333	1.5477723136	0.444899908266667	6.89930130773333	1.2450275328	0.650488149333333	1.3519663104	0.0794817792	0.0036662216	4.30337119573333	0.122712789333333	1963.42906006187	1965.25819603627	0.6772267008	0.0163888661333333	0.2507277824	1.38793683626667	0.1828165632	0.206122478933333	0.0089724	0.5806618624	0.081088512	6.7493494784	0.0873937493333333	8.0334716928	1.4492868608	82.6311180288	82.9372410538667	0.354540032	0.243472042666667	0.7247220736	0.541519189333333	16.1252879018667	45.5461262677333	9.9084795904	8.45014357333333	-0.0385261994666667	0.0202319424	0.03656064	0.3688650752	0.0914515114666667	0.980759552	11.8038495232	0.114442402133333	-4.47874607786667	4300.06777026534	38.0173985013333
KZT	0.807433489066667	16.1798728362667	217.18499328	2.27072436906667	35.6249152170667	1.0633977856	0.9613877248	4.02579346773333	9.66516736	1.69390503253333	0.369119368533333	2.86266873173333	12.0276047189333	0.871974980266667	0.549359069866667	4.52577580373333	4185.70924475253	0.946713463466667	4.95018584746667	1.569415168	12.4175799637333	2.67359982933333	1.38713975466667	3.02279529813333	0.2059572736	0.00757960693333333	9.5850627072	41.1579711488	2351.86509141333	3332.7411101696	1.5445102592	0.0555769856	0.5535091712	2.3837671424	0.4061688832	0.476691490133333	0.0225348117333333	1.2585684992	0.2581331968	16.6137495552	0.294317499733333	16.1605746688	3.28176981333333	269.2419158016	331.974512913067	0.8395782144	0.539126203733333	1.77575417173333	23.3323473578667	43.6702631253333	95.3650861397333	30.3350109525333	110.403483511467	0.1106397952	0.645576704	0.281631266133333	1.1934806016	0.720128273066667	2.3302127616	45.3671387136	0.530561774933333	-3.6538589184	7071.5267562192	91.0759378624
LT	0.185047671466667	0.0333232405333333	0.168491690666667	1.83179905706667	0.0887321856	0.560874120533333	1.36711918933333	0.410973559466667	30.8270465024	0.788633736533333	0.00433237706666667	3.54766219946667	23.2782867114667	4.75227531946667	0.3241092096	3.03074699946667	284.223568347067	0.435132962133333	6.28532456106667	2.63516269226667	0.07125408	0.397904622933333	0.944681642666667	1.9714043904	0.3640095744	0.0121893781333333	4.1911001088	6.6928075e-05	1.07208779093333	1.16668183893333	107.427074321067	0.104074205866667	7.48735747413333	0.614424712533333	0.124927675733333	0.070694528	0.0023178568	2.66628082346667	0.607015867733333	51.5779635882667	0.178020317866667	3.51984325973333	1.104756736	7.05044370773333	7.0632685568	4.26740831573333	0.456090555733333	1.53800758613333	8.02048583333333e-05	0.0255241578666667	0.935444616533333	4.92467432106667	0.0224438058666667	0.2810655744	-0.677209565866667	0.0162672458666667	0.4064350208	0.645825262933333	0.212428100266667	2.6870349824	0.147575773866667	0.0214378666666667	296.255451797734	234.0517818392
LU	0.0007250124	9.1517475e-05	0.000137405525	0.130472925866667	0.000133926091666667	0.00518921813333333	5.30976167253333	0.00174378546666667	0.0056951104	0.161605768533333	3.28012583333333e-05	0.0516989482666667	4.70615217493333	0.0537766570666667	0.000591294066666667	0.550023031466667	28.8225994982125	-0.00135043066666667	10.5310475605333	0.7542009856	-3.61092416666667e-05	0.00318089546666667	0.01272016	0.0306185877333333	0.119218048	-6.95846e-05	0.122983748266667	1.60635770833333e-05	0.00427422533333333	0.00462951413333333	0.00154849866666667	4.54027373226667	-0.000426443433333333	0.00334580213333333	0.000767665	0.000623716066666667	7.19744583333333e-05	1.51362983253333	0.00184242386666667	0.0689637632	0.0384685482666667	0.0228922112	0.0059098704	0.00200847386666667	0.00192367133333333	0.00891806346666667	0.0108659253333333	0.0222080554666667	1.60635770833333e-05	8.78665833333333e-05	0.001447632	0.0241973077333333	0.000170035333333333	0.0749488213333333	-0.00729982666666667	1.60635770833333e-05	0.0139934496	-0.0565248426666667	0.00872920106666667	0.130247415466667	0.0577326378666667	-0.0007666882	29.0500958343145	28.5915668472833
LV	0.1374204416	0.0247173525333333	0.2397154816	1.38755904853333	0.0814131882666667	0.475196757333333	1.43704459946667	0.377834120533333	19.2663562922667	0.537191594666667	0.0059398192	2.40315487573333	19.0794738346667	3.5725082624	2.49171913386667	2.03592430933333	189.964419080387	1.03839860053333	5.47266942293333	2.26581394773333	0.0661388544	0.274743432533333	0.758931319466667	1.44993785173333	0.3042684928	0.0133562944	3.0015004672	6.67721208333333e-05	1.37779377493333	1.51819072853333	27.2326306474667	0.0876360533333333	44.991381504	0.408338466133333	0.0910160128	0.0571491328	0.00159084973333333	2.5926352896	0.665182071466667	23.648796672	0.127752618666667	2.89190925653333	0.974661085866667	4.7999418368	4.8248029184	4.87995910826667	0.338528768	1.0893975552	1.22697333333333e-05	0.0149560565333333	1.06661853866667	4.486135808	0.0158585824	0.2696154624	-0.500566186666667	0.0206584042666667	0.297188420266667	0.678935893333333	0.185548970666667	2.3994621952	0.0777647786666667	0.0111269002666667	199.821605012121	154.480708542
MD	0.455296682666667	0.0860708437333333	0.236867857066667	0.900056405333333	0.1602281984	0.232992119466667	0.144054033066667	2.1118148608	2.45574505813333	0.306859656533333	0.0182633962666667	0.7702245376	3.23323549013333	0.196864068266667	0.023629888	0.6596552704	137.8729696535	0.0472323968	0.724043776	0.269425954133333	0.191955234133333	0.8074770432	0.605524241066667	1.82897636693333	0.047614784	0.000549855233333333	2.43940119893333	0.000436726466666667	0.788863863466667	0.833642496	0.279878741333333	0.0105031146666667	0.0744371712	45.8388406272	0.2078123008	0.213975842133333	0.00663526346666667	0.315208635733333	0.0240092906666667	3.73217170773333	0.0385238570666667	39.5599762773333	1.56199144106667	2.40361117013333	2.41503163733333	0.0956749738666667	0.191114069333333	0.860871816533333	-5.23175333333333e-05	0.0358834005333333	3.15633363626667	19.6619709098667	0.0409066752	0.0143153248	-0.0277621034666667	-0.161481813333333	0.164403114666667	0.0446479658666667	0.458885461333333	1.03151540906667	0.0150916245333333	0.0182041749333333	142.860131702567	59.3869650981333
ME	5.59150912853333	0.00892904	0.0278213781333333	0.882495214933333	0.0203396117333333	1.0439426048	0.0866582016	0.5584802816	0.0611990826666667	0.277551342933333	0.00122845626666667	0.3942581248	1.708169216	0.0458874752	0.00293583066666667	2.0911550464	54.1890645203591	0.00379517413333333	1.3501489152	0.223879901866667	0.0112184469333333	1.55936044373333	1.00968802986667	1.0376278016	0.0290738624	0.000799143333333333	8.8049860608	1.49698322916667e-05	0.034604864	0.039339584	0.0122135957333333	0.0079930016	0.002399416	0.0559727914666667	18.9218073258667	0.227229166933333	0.0266620138666667	0.127061154133333	0.0070425888	0.467138594133333	0.0760694698666667	1.19689475413333	4.70890632533333	0.145279146666667	0.145517824	0.0160978485333333	0.18788864	0.318872200533333	-3.34693984375e-06	0.0020448268	0.336371950933333	0.498221056	0.0019923308	0.0457676842666667	0.0169674613333333	0.0103083893333333	0.2078841344	0.0814194261333333	1.00558718293333	0.5788737536	0.0350224576	-0.0564960085333333	56.3221043902258	21.2194306957333
MK	7.94321660586667	0.01825872	0.0901679274666667	0.739425143466667	0.0444106752	-0.0932549461333333	0.0846543616	2.56085579093333	0.101327402666667	0.2243255296	0.0043523864	0.317339648	1.61538048	0.0405237205333333	0.00413811866666667	1.33647837866667	68.5344865439209	0.00468453013333333	0.908501674666667	0.186699264	0.02513104	16.8191710549333	0.6278873088	1.083505664	0.0237573589333333	-3.178825e-05	4.69917696	-9.83234375e-06	0.104318685866667	0.119258231466667	0.0232682752	0.007348256	0.0043172952	0.178142276266667	0.418632738133333	13.4236984661333	0.0314900842666667	0.115863662933333	0.00529575946666667	0.549548612266667	0.0559806933333333	3.0278148096	7.75800040106667	0.362642909866667	0.364665412266667	0.0155899168	0.158796407466667	0.3375076352	2.22853145833333e-05	0.00438977013333333	1.74675490133333	0.864828279466667	0.00336712426666667	0.0271822826666667	0.0161057749333333	0.0213412074666667	0.156422673066667	0.0618785621333333	1.3314052096	0.784050517333333	0.037519616	-0.0494374272	71.4780844831208	34.7561701832
MT	0.00317423146666667	2.63010125e-05	0.000590254466666667	0.006096256	3.42138489583333e-06	-0.0148417418666667	0.00126031213333333	-0.0043667712	0.000914558933333333	0.00576426453333333	0.000120399291666667	0.0008053904	0.0231541162666667	0.0003838953	5.29338958333333e-05	0.0753274794666667	1.51957641112152	6.42334416666667e-05	0.0678728064	0.003706764	2.818161875e-05	0.00861243733333333	0.00343491493333333	0.0037298448	0.000470194966666667	-4.60282291666667e-06	0.197797000533333	-6.313515625e-06	0.000437734433333333	0.000306410866666667	0.0003395944	0.0002730733	0.0001147929	0.0001382965	0.00126436186666667	-0.000975890133333333	1.10219195733333	0.00282615573333333	0.000144309966666667	0.000743307933333333	0.00279313786666667	0.00801420906666667	0.0003505851	0.00112893	0.00108500786666667	0.000246823616666667	0.0030710784	0.000478514133333333	-2.2124775390625e-07	-1.24057833333333e-05	0.01029344	0.00233213173333333	-2.27690041666667e-05	0.0001755883	0.0003925124	0.00022141555	-0.207951325866667	0.0010161912	0.0774687488	0.0133351413333333	-0.0148060906666667	-0.0295299541333333	1.36205555693818	1.5061799377125
NL	0.004984552	-0.0005946456	0.000616741466666667	0.4542286848	-0.00374325066666667	0.0296131413333333	47.3647502677333	0.0142503530666667	0.122731648	0.578917922133333	0.000112586683333333	-0.0172065194666667	76.1321837909333	1.4613884928	-0.00313211733333333	2.2598995968	504.974393310247	-0.0126740416	31.765889024	19.5123347456	-0.00255726053333333	0.0173569376	0.0341511893333333	0.130657851733333	2.06029960533333	-0.0056966208	0.386530304	5.17333625e-05	0.0582239317333333	0.0591984554666667	0.0715715712	0.446872200533333	0.015643168	0.0405968725333333	0.00349825893333333	0.000934745266666667	0.00122785933333333	320.5561843712	-0.0034997184	0.588904994133333	0.150137258666667	0.2464234496	0.0415214378666667	-0.0717378816	-0.0748525653333333	0.176425181866667	0.0364197418666667	0.147839232	-1.24053822916667e-05	-0.00012894295	0.0200127466666667	0.1645039104	0.000243515533333333	0.00977424746666667	-0.760711168	-0.000684325866666667	0.0789013845333333	-6.56688032426667	0.0502496896	0.459351210666667	-0.1653463552	-0.0325990634666667	498.033551397314	503.964518591083
